#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,C1,C2
m,in,in
115.0620,12.9393,12.2749
115.2144,12.8881,12.3268
115.3668,12.8481,12.1858
115.5192,12.8424,12.1318
115.6716,12.8343,12.1137
115.8240,12.9558,12.2629
115.9764,12.9470,12.3392
116.1288,12.9395,12.3375
116.2812,12.9359,12.3029
116.4336,13.1157,12.7851
116.5860,12.7754,12.3545
116.7384,12.7315,12.4475
116.8908,12.7215,12.3934
117.0432,12.6822,12.2883
117.1956,12.6443,12.2839
117.3480,12.7837,12.4888
117.5004,13.0537,12.7651
117.6528,13.0986,12.7679
117.8052,13.1188,12.7741
117.9576,12.9108,12.4683
118.1100,12.8704,12.4652
118.2624,12.8797,12.5456
118.4148,12.8797,12.5089
118.5672,12.8809,12.5091
118.7196,12.8447,12.4097
118.8720,13.0195,12.5027
119.0244,13.0412,12.5433
119.1768,13.0567,12.5433
119.3292,12.7584,12.4996
119.4816,12.9481,12.4683
119.6340,13.0474,12.4683
119.7864,13.0505,12.4684
119.9388,13.3217,13.2248
120.0912,13.3170,12.1868
120.2436,13.3170,12.2807
120.3960,13.3170,12.2839
120.5484,13.3193,12.7655
120.7008,13.2985,12.5713
120.8532,13.3356,12.1555
121.0056,13.3356,11.9989
121.1580,13.3343,12.0176
121.3104,13.3317,11.9869
121.4628,13.3356,12.0772
121.6152,13.3263,12.3872
121.7676,13.3325,14.2510
121.9200,13.3356,14.5622
122.0724,13.3294,14.7383
122.2248,13.2149,12.6557
122.3772,13.1715,13.5468
122.5296,13.0847,12.5526
122.6820,13.0934,12.5800
122.8344,13.1727,12.6216
122.9868,13.0443,12.6930
123.1392,13.0722,12.6931
123.2916,12.9915,13.1271
123.4440,12.9915,13.3179
123.5964,12.9884,13.2124
123.7488,12.9383,12.5488
123.9012,12.8750,12.5128
124.0536,12.8389,12.2928
124.2060,12.9239,12.4117
124.3584,12.9512,12.7086
124.5108,12.9449,12.6993
124.6632,12.9134,12.3529
124.8156,12.9543,12.5776
124.9680,12.9543,12.5807
125.1204,12.8704,12.4715
125.2728,12.9036,12.6169
125.4252,12.9133,12.6625
125.5776,12.9135,12.6429
125.7300,13.0261,12.7415
125.8824,13.2847,14.0976
126.0348,13.3185,12.5351
126.1872,13.3207,12.1618
126.3396,13.3228,12.1641
126.4920,13.1670,13.0371
126.6444,12.9776,12.9268
126.7968,13.1904,13.3555
126.9492,13.3282,14.5215
127.1016,13.3336,15.0610
127.2540,13.3083,14.7304
127.4064,13.1836,13.4687
127.5588,13.0982,12.4394
127.7112,13.0955,12.2730
127.8636,13.1158,12.3919
128.0160,13.1378,12.4583
128.1684,13.1405,12.4911
128.3208,13.1926,12.5327
128.4732,13.2964,13.0333
128.6256,13.3385,14.2383
128.7780,13.3317,14.2578
128.9304,13.3268,13.3517
129.0828,13.3197,14.8906
129.2352,13.2822,14.5161
129.3876,13.3072,14.2383
129.5400,13.2908,13.9830
129.6924,13.2775,13.7890
129.8448,13.2500,12.8545
129.9972,13.2980,12.6328
130.1496,13.3268,12.6567
130.3020,13.3356,12.6735
130.4544,13.3356,12.6463
130.6068,13.3356,12.6183
130.7592,13.3356,15.1675
130.9116,13.3356,14.3029
131.0640,13.3356,14.3587
131.2164,13.3356,14.4646
131.3688,13.3046,12.8987
131.5212,13.2892,13.0106
131.6736,13.2923,13.0168
131.8260,13.2489,12.8426
131.9784,13.2954,13.1380
132.1308,13.3232,13.4262
132.2832,13.3325,13.3612
132.4356,13.3325,12.5527
132.5880,13.3356,13.7105
132.7404,13.3356,15.1945
132.8928,13.3170,12.9391
133.0452,13.3276,12.9394
133.1976,13.2954,12.9547
133.3500,13.3356,13.9136
133.5024,13.3356,13.9290
133.6548,13.3356,13.8151
133.8072,13.2737,12.2745
133.9596,13.2985,12.7647
134.1120,13.2404,12.5245
134.2644,13.2396,12.5433
134.4168,13.2149,12.5433
134.5692,13.2056,12.6042
134.7216,13.2056,13.1380
134.8740,13.1839,13.1628
135.0264,13.2025,12.4058
135.1788,13.2437,12.5669
135.3312,13.2203,12.5613
135.4836,13.1095,12.0177
135.6360,13.1064,11.9518
135.7884,13.1972,11.9213
135.9408,13.2582,11.9048
136.0932,13.2087,12.1242
136.2456,13.2436,12.3787
136.3980,13.2915,12.4053
136.5504,13.2915,12.7483
136.7028,13.2954,12.8520
136.8552,13.2954,12.8146
137.0076,13.1916,12.5948
137.1600,13.1994,12.6400
137.3124,13.1808,12.5620
137.4648,13.2427,12.7023
137.6172,13.0940,11.8107
137.7696,13.0940,11.8076
137.9220,13.0996,11.7887
138.0744,13.0971,11.7479
138.2268,13.2626,12.1370
138.3792,13.1916,12.0929
138.5316,13.2985,12.0365
138.6840,13.2118,12.0114
138.8364,13.1715,12.0208
138.9888,13.2272,11.9048
139.1412,13.2347,12.4560
139.2936,13.2396,12.4589
139.4460,13.2954,12.3933
139.5984,13.2056,12.3464
139.7508,13.1820,12.1713
139.9032,13.1963,12.5058
140.0556,13.1986,13.1900
140.2080,13.2636,13.9958
140.3604,13.3356,14.5926
140.5128,13.3356,14.2355
140.6652,13.3356,11.9393
140.8176,13.3356,11.1932
140.9700,13.3317,11.1920
141.1224,13.3317,11.1323
141.2748,13.3356,11.3049
141.4272,13.3217,11.4574
141.5796,13.3232,11.8044
141.7320,13.3201,11.8390
141.8844,13.3201,12.5653
142.0368,13.2242,15.1164
142.1892,13.2956,15.2404
142.3416,13.3286,11.3366
142.4940,13.3356,11.7950
142.6464,13.3325,12.0146
142.7988,13.3356,11.9942
142.9512,13.3356,12.0208
143.1036,13.3170,11.4652
143.2560,13.2966,11.4306
143.4084,13.2861,11.4495
143.5608,13.2776,11.3961
143.7132,13.2365,11.4023
143.8656,13.1839,11.0720
144.0180,13.1870,11.0941
144.1704,13.2056,11.1539
144.3228,13.2099,11.2670
144.4752,13.3232,11.5092
144.6276,13.2520,11.4432
144.7800,13.2334,11.3740
144.9324,13.2311,11.4008
145.0848,13.2381,11.4644
145.2372,13.2334,11.3866
145.3896,13.2923,11.3395
145.5420,13.2216,11.3302
145.6944,13.2234,11.3335
145.8468,13.2009,11.4621
145.9992,13.2241,11.4998
146.1516,13.2644,11.2891
146.3040,13.2935,11.4431
146.4564,13.2149,11.4243
146.6088,13.2087,11.4652
146.7612,13.2056,11.6820
146.9136,13.2087,11.6883
147.0660,13.2056,11.6270
147.2184,13.1405,11.6223
147.3708,13.0288,11.9832
147.5232,13.0567,12.0145
147.6756,13.0567,12.0114
147.8280,12.9310,11.9519
147.9804,12.9170,12.0083
148.1328,12.9760,12.1336
148.2852,13.0164,12.1023
148.4376,13.0195,12.0866
148.5900,12.9822,12.1399
148.7424,13.1677,12.1739
148.8948,13.1963,12.2620
149.0472,13.2118,12.2932
149.1996,13.1758,12.2965
149.3520,13.2520,12.1258
149.5044,13.2427,11.8483
149.6568,13.1901,11.7417
149.8092,13.1789,12.3309
149.9616,13.1653,12.1931
150.1140,13.0940,12.1657
150.2664,13.0971,12.1649
150.4188,13.0288,12.2119
150.5712,13.0195,12.2620
150.7236,13.0195,12.2760
150.8760,13.0195,12.2776
151.0284,13.0722,12.2182
151.1808,12.9170,13.1535
151.3332,12.9512,13.1938
151.4856,13.0265,12.5807
151.6380,13.1064,12.2745
151.7904,13.1312,12.3464
151.9428,13.0983,12.2652
152.0952,12.9519,11.8907
152.2476,12.9480,12.7523
152.4000,12.9449,12.6400
152.5524,12.9512,12.6369
152.7048,12.9543,12.6743
152.8572,13.0412,12.1618
153.0096,13.1265,11.6788
153.1620,13.0971,11.5940
153.3144,13.0971,11.5689
153.4668,13.0971,11.4842
153.6192,13.3232,12.9144
153.7716,13.3389,15.2457
153.9240,13.3356,15.2487
154.0764,13.3356,15.2427
154.2288,13.3356,15.2487
154.3812,13.3356,15.2426
154.5336,13.3356,12.7896
154.6860,13.3170,11.4369
154.8384,13.2868,11.4479
154.9908,13.2892,11.4998
155.1432,13.2923,11.4338
155.2956,13.2812,11.3331
155.4480,13.2489,11.2011
155.6004,13.2344,11.3889
155.7528,13.2427,11.4055
155.9052,13.2497,11.4055
156.0576,13.2056,11.8829
156.2100,13.3016,12.3183
156.3624,13.3356,12.9142
156.5148,13.3325,12.8737
156.6672,13.2892,12.0897
156.8196,13.2706,11.5218
156.9720,13.2427,11.8358
157.1244,13.1994,11.8765
157.2768,13.2427,11.6529
157.4292,13.1893,11.3064
157.5816,13.0816,11.5752
157.7340,13.1219,11.8076
157.8864,13.1095,11.8107
158.0388,13.0986,11.8083
158.1912,13.1262,11.8170
158.3436,13.3325,11.9706
158.4960,13.3400,11.8138
158.6484,13.3356,11.5971
158.8008,13.3356,11.1130
158.9532,13.3422,11.4855
159.1056,13.3325,11.4243
159.2580,13.3356,11.4149
159.4104,13.3400,11.3079
159.5628,13.3356,11.2168
159.7152,13.3356,11.1767
159.8676,13.3400,11.1601
160.0200,13.3356,11.5501
160.1724,13.3356,11.9299
160.3248,13.3400,11.6161
160.4772,13.3356,12.2838
160.6296,13.3356,11.4055
160.7820,13.3400,11.3456
160.9344,13.3317,11.1166
161.0868,13.3356,11.3300
161.2392,13.3389,11.3724
161.3916,13.3356,11.3772
161.5440,13.3356,11.3300
