#HOLE:,940A
#LEG:,155
#TOP:,0.000000
#BOTTOM:,218.998795
DEPTH_WMSF,NPHI,ENPH,CNTC,CFTC,CNEC,CFEC,TNRA,ENRA
m,%,%,cps,cps,cps,cps,--,--
8.8392,63.5272,45.0855,1030.8071,195.8523,3723.8445,618.8090,5.3206,6.0178
8.9916,64.4294,45.7904,1032.6222,198.0692,3735.4983,615.7716,5.3796,6.0664
9.1440,59.3383,48.4057,1024.6644,193.2982,3747.6533,600.9764,5.0471,6.2359
9.2964,59.9540,48.8074,1018.7139,202.2798,3734.9790,596.5754,5.0873,6.2607
9.4488,61.1252,48.6823,1023.7941,203.1760,3702.5701,592.1251,5.1638,6.2530
9.6012,68.3090,49.8757,1012.8201,202.0993,3722.3486,588.4984,5.6329,6.3252
9.7536,67.7542,50.4307,1008.5162,184.5605,3722.9673,585.5651,5.5967,6.3579
9.9060,65.3016,50.0710,1017.2687,184.6297,3706.2854,584.8884,5.4365,6.3367
10.0584,61.4166,50.6295,1014.3633,188.8522,3728.5554,585.3754,5.1828,6.3695
10.2108,60.3639,50.5915,1004.1986,197.4094,3722.8335,584.6802,5.1141,6.3673
10.3632,59.1731,50.4214,1001.7318,198.1270,3725.7100,586.0467,5.0363,6.3574
10.5156,60.4968,52.3237,998.3484,200.5688,3724.4109,575.9849,5.1228,6.4662
10.6680,59.9105,52.2631,989.4926,196.7200,3726.2908,576.5776,5.0845,6.4628
10.8204,61.6128,50.1103,994.8877,199.1853,3689.1062,581.9642,5.1956,6.3391
10.9728,59.4697,49.4041,991.1227,195.1203,3687.3022,585.5698,5.0557,6.2969
11.1252,62.6877,50.7560,992.7486,201.5117,3684.0239,577.7169,5.2658,6.3769
11.2776,65.6397,50.1375,993.4849,191.4457,3646.2612,575.0594,5.4586,6.3407
11.4300,64.5302,51.7737,993.5880,185.1534,3649.1284,567.0560,5.3861,6.4352
11.5824,64.6622,54.6596,983.9771,185.1534,3664.5039,555.7758,5.3948,6.5935
11.7348,63.8966,55.2952,985.8068,185.6105,3654.7136,551.4796,5.3448,6.6271
11.8872,64.2295,54.7867,981.3824,187.1689,3626.8030,549.4950,5.3665,6.6002
12.0396,63.2843,53.4841,981.4360,187.2035,3637.3477,557.0037,5.3048,6.5302
12.1920,64.3403,55.7395,983.9325,189.8195,3616.5764,543.8163,5.3737,6.6504
12.3444,63.7494,51.7523,984.5934,186.6125,3604.7163,560.2604,5.3352,6.4340
12.4968,62.6869,52.6442,982.1052,188.1684,3613.1252,557.2357,5.2658,6.4840
12.6492,60.8084,47.5119,986.5799,191.3084,3607.2744,583.7304,5.1431,6.1797
12.8016,63.1555,49.3695,997.7151,199.3167,3606.6426,572.9500,5.2964,6.2949
12.9540,64.2615,46.8773,1002.1334,196.1358,3588.5020,584.5669,5.3686,6.1387
13.1064,61.4051,51.9899,979.8190,184.0254,3569.8062,553.6788,5.1821,6.4474
13.2588,61.9184,58.4635,950.1135,177.3184,3558.3445,524.1281,5.2156,6.7891
13.4112,67.7661,67.0690,915.3785,164.5476,3550.5994,493.5751,5.5974,7.1936
13.5636,63.8198,79.6014,929.2292,167.7543,3666.2458,474.5556,5.3398,7.7256
13.7160,59.0694,58.1516,956.9445,206.3002,3775.9456,557.4581,5.0296,6.7735
13.8684,48.2877,42.4910,996.1085,233.4729,3928.5027,674.4745,4.3256,5.8245
14.0208,54.4230,33.5168,1103.7181,280.7335,3991.7803,791.6568,4.7262,5.0423
14.1732,47.0487,32.9535,1203.3391,269.5381,4107.4995,822.7070,4.2447,4.9927
14.3256,46.4767,35.7908,1211.2599,317.3510,3998.9680,762.8616,4.2073,5.2421
14.4780,65.8330,37.2720,1234.7141,313.0657,3958.4153,736.8863,5.4712,5.3718
14.6304,72.1340,40.8417,1404.4288,297.8872,3877.6599,682.1483,5.8826,5.6845
14.7828,74.2544,38.1190,1363.7504,262.7310,3866.4041,709.9577,6.0211,5.4460
14.9352,53.0046,36.9349,1336.9342,248.3928,3807.8547,712.7743,4.6336,5.3423
15.0876,55.6816,35.3461,1342.1409,258.8804,3893.7603,748.3594,4.8084,5.2031
15.2400,55.8172,38.0557,1325.6285,250.9171,3964.0024,728.6201,4.8172,5.4404
15.3924,55.1656,40.2169,1195.4583,254.0563,4034.9058,716.7184,4.7747,5.6297
15.5448,53.8619,39.6439,1226.4409,266.7785,4130.4658,740.2957,4.6895,5.5795
15.6972,51.2394,35.5023,1260.2241,284.2511,4258.8154,816.3719,4.5183,5.2168
15.8496,49.1146,32.2948,1289.7896,300.2881,4333.9170,878.2864,4.3796,4.9345
16.0020,49.4166,31.2186,1327.1997,314.1132,4392.3306,907.6545,4.3993,4.8392
16.1544,50.3236,31.8387,1341.2504,309.3844,4427.4526,904.6390,4.4585,4.8942
16.3068,49.8064,31.3751,1347.6519,307.7354,4475.5933,922.2137,4.4247,4.8531
16.4592,46.7941,32.2146,1333.2634,303.5575,4494.7227,912.1851,4.2280,4.9274
16.6116,44.0010,31.2775,1341.8348,321.0978,4508.3262,930.6196,4.0457,4.8444
16.7640,45.2550,31.3715,1336.7777,336.1817,4502.5361,927.8275,4.1275,4.8528
16.9164,45.8412,30.9368,1330.1791,329.8889,4530.0190,940.9715,4.1658,4.8142
17.0688,47.2647,31.4243,1322.8015,323.0100,4510.9790,928.6713,4.2588,4.8575
17.2212,45.0933,30.6672,1325.2773,311.1705,4483.9834,936.0686,4.1170,4.7902
17.3736,45.8781,29.8624,1316.4291,323.6773,4462.9150,945.8293,4.1682,4.7185
17.5260,49.0741,30.2583,1311.3099,321.0950,4438.6226,933.6944,4.3769,4.7538
17.6784,49.3105,30.5796,1327.5771,311.3457,4407.0835,921.5144,4.3924,4.7824
17.8308,48.8446,30.4927,1326.9794,309.7517,4396.5044,920.7916,4.3619,4.7747
17.9832,45.9268,30.0589,1329.5923,311.2927,4409.1113,930.9668,4.1714,4.7361
18.1356,46.3789,29.3788,1331.7507,321.0973,4411.0728,943.4843,4.2009,4.6753
18.2880,47.7390,29.6148,1329.5906,319.5033,4441.0981,945.6379,4.2897,4.6964
18.4404,48.2259,29.1087,1320.0608,313.1228,4460.1367,958.9399,4.3215,4.6511
18.5928,47.6753,29.5939,1329.0504,313.0675,4473.1846,952.8501,4.2856,4.6945
18.7452,47.5479,29.4503,1337.4790,319.4442,4493.2554,959.7498,4.2773,4.6817
18.8976,48.3751,29.9264,1343.5828,322.6877,4520.1084,956.7924,4.3313,4.7242
19.0500,49.1343,30.6056,1347.6287,317.6129,4528.4556,946.4361,4.3808,4.7847
19.2024,47.4824,31.7975,1349.9619,311.2364,4533.6406,927.0267,4.2730,4.8905
19.3548,46.1893,32.5275,1353.4501,320.7567,4505.6289,909.2969,4.1885,4.9551
19.5072,47.0112,32.2626,1360.7378,331.6125,4463.2471,905.0184,4.2422,4.9317
19.6596,46.7787,33.1326,1362.0520,330.0187,4460.1357,890.5207,4.2270,5.0085
19.8120,47.0127,33.7740,1361.6279,328.3647,4458.1108,880.1890,4.2423,5.0649
19.9644,47.0197,33.6393,1359.4332,321.0427,4461.8242,882.9886,4.2428,5.0531
20.1168,49.2581,32.6407,1336.7864,313.1771,4491.3569,904.5917,4.3889,4.9651
20.2692,49.8947,31.5311,1318.6750,300.1900,4510.3730,926.7405,4.4305,4.8669
20.4216,49.5700,31.6504,1297.1893,292.1611,4461.7510,914.7623,4.4093,4.8775
20.5740,48.1407,32.9970,1281.7450,293.6215,4410.3398,882.6857,4.3160,4.9965
20.7264,48.1698,34.4582,1275.1039,298.5277,4374.0488,853.4547,4.3179,5.1251
20.8788,48.1513,34.3616,1282.9363,301.7169,4359.9761,852.1193,4.3167,5.1166
21.0312,47.9788,33.7571,1268.8982,300.1256,4336.3604,856.4017,4.3054,5.0635
21.1836,50.8008,34.0066,1269.7679,298.6912,4373.5815,860.0255,4.4897,5.0854
21.3360,51.8339,33.9953,1263.5936,282.7517,4385.4663,862.5309,4.5571,5.0844
21.4884,52.6747,32.9295,1261.2328,281.2100,4378.2339,877.3054,4.6120,4.9905
21.6408,49.7939,32.5221,1255.0071,277.9695,4331.8311,874.3060,4.4239,4.9546
21.7932,49.5622,33.5721,1270.4303,295.4510,4318.2183,855.5706,4.4088,5.0472
21.9456,50.9473,35.5101,1266.8992,293.8622,4286.7251,821.6130,4.4992,5.2175
22.0980,52.2045,34.8931,1264.2915,284.3486,4279.1035,828.7526,4.5813,5.1633
22.2504,50.9822,32.6312,1260.5426,274.7232,4237.9741,853.7030,4.5015,4.9642
22.4028,48.6301,32.8473,1250.2407,277.9845,4246.2183,852.0898,4.3479,4.9833
22.5552,46.6922,34.5162,1221.6823,284.3603,4217.0273,821.9993,4.2214,5.1302
22.7076,50.2812,35.3624,1215.8016,289.0747,4202.0146,807.3817,4.4557,5.2045
22.8600,50.4216,34.6480,1223.4945,277.8732,4163.3110,809.7017,4.4649,5.1418
23.0124,54.8641,31.8101,1215.5812,280.8575,4055.5352,829.0754,4.7550,4.8916
23.1648,48.5522,34.3502,1210.8198,263.0288,4014.9736,784.8460,4.3428,5.1156
23.3172,43.0262,38.1222,1212.1919,284.8957,4035.6772,741.0018,3.9820,5.4462
23.4696,31.6778,45.0143,1182.3217,302.5313,3932.9587,654.1003,3.2410,6.0128
23.6220,27.8997,43.5175,1139.6078,345.8821,3850.1980,652.1295,2.9931,5.9040
23.7744,35.3779,44.8388,1101.8531,355.8974,3881.2468,646.8303,3.4826,6.0004
23.9268,45.0017,41.8773,1074.8784,318.2119,3838.4351,664.6994,4.1110,5.7747
24.0792,53.6956,41.9903,1049.2305,270.5635,3752.5837,648.7858,4.6787,5.7840
24.2316,55.2209,41.3739,1050.9612,230.6805,3775.1680,658.5790,4.7783,5.7323
24.3840,55.2268,39.8405,1066.7664,230.1788,3799.4600,678.8739,4.7787,5.5967
24.5364,59.8753,39.9524,1089.4030,236.5484,3820.8967,681.5099,5.0822,5.6065
24.6888,58.4165,39.2339,1140.1411,238.1806,3837.0601,692.1636,4.9869,5.5436
24.8412,57.5653,37.8062,1175.6208,250.9548,3909.2854,721.4584,4.9314,5.4186
24.9936,51.3195,36.0124,1207.8247,260.4675,3952.9592,751.3013,4.5235,5.2615
