#HOLE:,940A
#LEG:,155
#TOP:,77.419197
#BOTTOM:,227.076004
DEPTH_WMSF,RHOB,PEF,DRHO
m,g/cm3,barns/e-,g/cm3
101.0412,1.8860,2.9353,0.0093
101.1936,1.8783,2.9745,0.0049
101.3460,1.8795,3.0206,0.0055
101.4984,1.8786,3.0339,0.0035
101.6508,1.8793,3.0288,0.0025
101.8032,1.8794,2.9338,0.0002
101.9556,1.8816,2.8606,0.0016
102.1080,1.8900,2.8735,0.0056
102.2604,1.8943,2.9191,0.0075
102.4128,1.8960,2.8993,0.0087
102.5652,1.8897,2.8352,0.0087
102.7176,1.8841,2.8129,0.0106
102.8700,1.8764,2.8431,0.0096
103.0224,1.8956,2.9281,0.0214
103.1748,1.9067,2.9672,0.0206
103.3272,1.9019,2.9574,0.0092
103.4796,1.8968,2.9029,0.0088
103.6320,1.8941,2.8757,0.0104
103.7844,1.8929,2.9049,0.0104
103.9368,1.8923,2.9330,0.0091
104.0892,1.8911,2.9229,0.0084
104.2416,1.8883,2.9105,0.0087
104.3940,1.8923,2.8169,0.0139
104.5464,1.8882,2.8218,0.0097
104.6988,1.8938,2.8056,0.0075
104.8512,1.8967,2.9394,0.0092
105.0036,1.8917,2.9596,0.0075
105.1560,1.8900,3.0277,0.0089
105.3084,1.8983,2.9713,0.0118
105.4608,1.9009,3.0453,0.0081
105.6132,1.9047,3.0283,0.0096
105.7656,1.8920,3.0237,0.0050
105.9180,1.8889,2.9626,0.0102
106.0704,1.8814,2.9227,0.0089
106.2228,1.8842,2.8929,0.0093
106.3752,1.8920,2.9145,0.0089
106.5276,1.8934,2.9439,0.0051
106.6800,1.8989,3.0143,0.0072
106.8324,1.8964,3.0194,0.0040
106.9848,1.8970,3.0055,0.0065
107.1372,1.8935,2.9591,0.0071
107.2896,1.8891,2.9286,0.0082
107.4420,1.8878,2.9332,0.0089
107.5944,1.8919,2.9391,0.0146
107.7468,1.8954,2.8979,0.0155
107.8992,1.8988,2.8962,0.0154
108.0516,1.8972,2.9042,0.0091
108.2040,1.8959,2.8781,0.0086
108.3564,1.8990,2.8588,0.0112
108.5088,1.8976,2.9228,0.0114
108.6612,1.8956,2.9601,0.0113
108.8136,1.8831,2.9160,0.0054
108.9660,1.8841,2.8524,0.0080
109.1184,1.8877,2.8517,0.0074
109.2708,1.8925,2.9333,0.0101
109.4232,1.8832,2.9451,0.0075
109.5756,1.8786,2.9791,0.0082
109.7280,1.8787,2.9696,0.0086
109.8804,1.8898,2.8910,0.0100
110.0328,1.8945,2.7424,0.0085
110.1852,1.8988,2.6743,0.0071
110.3376,1.8970,2.7739,-0.0024
110.4900,1.8954,2.8528,-0.0055
110.6424,1.8962,2.9330,-0.0038
110.7948,1.8985,2.8975,0.0029
110.9472,1.9011,2.9596,0.0079
111.0996,1.9005,2.9897,0.0084
111.2520,1.8957,3.0131,0.0090
111.4044,1.8964,3.0151,0.0086
111.5568,1.8961,3.0179,0.0086
111.7092,1.8815,2.9710,0.0092
111.8616,1.8643,2.9532,0.0108
112.0140,1.8873,2.9072,0.0342
112.1664,1.8970,2.9140,0.0353
112.3188,1.8907,2.8968,0.0119
112.4712,1.8939,2.9005,0.0110
112.6236,1.9038,2.9049,0.0117
112.7760,1.9044,2.9299,0.0111
112.9284,1.9056,2.9483,0.0116
113.0808,1.9017,2.9242,0.0087
