#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,FX,FY,FZ,FNOR,DEVI,FINC,RB,P1AZ,HAZI
m,oer,oer,oer,oer,deg,deg,deg,deg,deg,,
92.5068,0.2329,-0.1933,0.0846,0.3144,5.0271,20.4952,203.5937,21.0432,177.3684
92.6592,0.2330,-0.1932,0.0844,0.3143,5.0405,20.4805,203.6074,21.0274,177.3384
92.8116,0.2347,-0.1909,0.0844,0.3143,5.0508,20.4657,203.4619,20.8308,177.2874
92.9640,0.2279,-0.1995,0.0843,0.3143,5.0631,20.4547,204.6709,22.0067,177.2507
93.1164,0.2294,-0.1979,0.0840,0.3143,5.0771,20.4448,205.2695,22.5555,177.1989
93.2688,0.2178,-0.2104,0.0839,0.3142,5.0925,20.4366,206.9313,24.1525,177.1295
93.4212,0.2368,-0.1886,0.0838,0.3142,5.0972,20.4116,204.8983,22.1187,177.1336
93.5736,0.2399,-0.1847,0.0839,0.3142,5.1019,20.3903,201.9467,19.1026,177.0770
93.7260,0.2398,-0.1843,0.0835,0.3141,5.1038,20.3704,201.7969,18.9444,177.0689
93.8784,0.2397,-0.1851,0.0838,0.3141,5.1115,20.3588,201.8818,18.9860,177.0252
94.0308,0.2402,-0.1846,0.0836,0.3140,5.1193,20.3529,201.6475,18.7162,176.9901
94.1832,0.2431,-0.1802,0.0833,0.3140,5.1150,20.3347,201.6490,18.7006,176.9731
94.3356,0.2428,-0.1809,0.0834,0.3140,5.1198,20.3244,200.9947,18.0143,176.9429
94.4880,0.2419,-0.1817,0.0831,0.3140,5.1201,20.3128,201.0952,18.0913,176.9191
94.6404,0.2446,-0.1783,0.0831,0.3139,5.1190,20.2964,200.8578,17.7956,176.8616
94.7928,0.2445,-0.1782,0.0829,0.3139,5.1218,20.2851,200.4803,17.3794,176.8239
94.9452,0.2445,-0.1781,0.0828,0.3139,5.1237,20.2740,200.5432,17.4077,176.7890
95.0976,0.2462,-0.1760,0.0827,0.3139,5.1270,20.2676,200.0779,16.9123,176.7602
95.2500,0.2420,-0.1814,0.0831,0.3138,5.1255,20.2553,200.9303,17.7362,176.7291
95.4024,0.2459,-0.1765,0.0830,0.3138,5.1238,20.2419,200.5704,17.3469,176.7009
95.5548,0.2452,-0.1774,0.0829,0.3138,5.1227,20.2272,200.5338,17.2766,176.6674
95.7072,0.2471,-0.1748,0.0830,0.3138,5.1227,20.2167,200.0226,16.7192,176.6227
95.8596,0.2515,-0.1685,0.0826,0.3138,5.1230,20.2086,198.8120,15.4839,176.6018
96.0120,0.2500,-0.1705,0.0825,0.3138,5.1205,20.1986,198.7933,15.4231,176.5598
96.1644,0.2497,-0.1715,0.0825,0.3138,5.1232,20.1931,199.0867,15.6925,176.5348
96.3168,0.2482,-0.1735,0.0826,0.3138,5.1248,20.1859,199.5782,16.1578,176.5070
96.4692,0.2502,-0.1706,0.0825,0.3138,5.1241,20.1768,199.2751,15.8530,176.5063
96.6216,0.2637,-0.1489,0.0825,0.3138,5.1195,20.1639,197.1609,13.6916,176.4660
96.7740,0.2629,-0.1501,0.0820,0.3138,5.1220,20.1557,193.8794,10.3556,176.4227
96.9264,0.2606,-0.1536,0.0824,0.3137,5.1209,20.1446,195.2924,11.7367,176.3859
97.0788,0.2565,-0.1608,0.0821,0.3137,5.1192,20.1320,195.9373,12.3468,176.3489
97.2312,0.2544,-0.1645,0.0822,0.3137,5.1193,20.1265,198.4874,14.8766,176.3202
97.3836,0.2528,-0.1668,0.0820,0.3137,5.1172,20.1177,198.1803,14.5253,176.2771
97.5360,0.2526,-0.1670,0.0820,0.3137,5.1153,20.1097,198.4629,14.7531,176.2214
97.6884,0.2515,-0.1684,0.0818,0.3137,5.1111,20.0986,198.6223,14.8590,176.1676
97.8408,0.2416,-0.1826,0.0821,0.3137,5.1133,20.0940,200.6859,16.8612,176.0998
97.9932,0.2396,-0.1850,0.0819,0.3136,5.1102,20.0841,202.2925,18.4071,176.0344
98.1456,0.2390,-0.1858,0.0815,0.3136,5.1086,20.0786,203.5137,19.5735,175.9763
98.2980,0.2489,-0.1725,0.0819,0.3136,5.1068,20.0721,200.7732,16.7744,175.9255
98.4504,0.2601,-0.1550,0.0819,0.3136,5.1043,20.0645,197.9544,13.8874,175.8661
98.6028,0.2697,-0.1371,0.0819,0.3136,5.0996,20.0554,192.9668,8.8296,175.8131
98.7552,0.2747,-0.1269,0.0817,0.3136,5.1027,20.0537,191.3992,7.2636,175.8202
98.9076,0.2753,-0.1253,0.0814,0.3135,5.1026,20.0479,189.9274,5.7926,175.8265
99.0600,0.2792,-0.1171,0.0817,0.3135,5.1015,20.0384,188.9857,4.8481,175.8273
99.2124,0.2808,-0.1131,0.0816,0.3135,5.1059,20.0336,187.1835,3.0492,175.8374
99.3648,0.2812,-0.1124,0.0817,0.3135,5.1089,20.0283,187.3905,3.2816,175.8620
99.5172,0.2787,-0.1179,0.0817,0.3135,5.1112,20.0243,188.0914,4.0194,175.8961
99.6696,0.2784,-0.1185,0.0816,0.3135,5.1164,20.0203,188.2133,4.1704,175.9247
99.8220,0.2766,-0.1230,0.0815,0.3135,5.1223,20.0158,189.3784,5.3677,175.9524
99.9744,0.2798,-0.1159,0.0817,0.3135,5.1290,20.0159,188.3657,4.3482,175.9494
100.1268,0.2876,-0.0938,0.0814,0.3135,5.1318,20.0082,185.3771,1.4399,176.0413
100.2792,0.2930,-0.0779,0.0812,0.3135,5.1369,20.0041,180.6247,356.6914,176.0642
100.4316,0.2972,-0.0584,0.0813,0.3135,5.1403,19.9953,178.6827,354.7663,176.0889
100.5840,0.3011,-0.0336,0.0814,0.3135,5.1486,19.9907,172.0958,348.1956,176.1314
100.7364,0.3017,-0.0242,0.0812,0.3135,5.1617,19.9912,170.3382,346.4549,176.1553
100.8888,0.3018,-0.0244,0.0809,0.3135,5.1653,19.9843,169.5868,345.8067,176.2615
101.0412,0.3019,-0.0256,0.0811,0.3135,5.1631,19.9733,169.6332,345.9529,176.3610
101.1936,0.3000,-0.0404,0.0812,0.3135,5.1654,19.9676,171.0172,347.4497,176.4686
101.3460,0.2906,-0.0848,0.0810,0.3135,5.1669,19.9600,176.2485,352.7466,176.5133
101.4984,0.2822,-0.1101,0.0808,0.3135,5.1714,19.9598,185.0020,1.5622,176.5398
101.6508,0.2829,-0.1084,0.0805,0.3135,5.1666,19.9535,185.8569,2.4369,176.5562
101.8032,0.2824,-0.1094,0.0806,0.3135,5.1571,19.9410,185.7274,2.3396,176.5891
101.9556,0.2773,-0.1211,0.0807,0.3134,5.1547,19.9384,186.6611,3.2658,176.5779
102.1080,0.2667,-0.1434,0.0811,0.3134,5.1539,19.9362,192.1845,8.8092,176.5768
102.2604,0.2649,-0.1462,0.0810,0.3134,5.1453,19.9280,193.5360,10.1717,176.5829
102.4128,0.2657,-0.1451,0.0812,0.3134,5.1375,19.9213,193.4215,10.0791,176.6054
102.5652,0.2676,-0.1415,0.0810,0.3134,5.1305,19.9114,192.6441,9.3405,176.6472
102.7176,0.2534,-0.1656,0.0809,0.3134,5.1280,19.9104,195.4190,12.0701,176.5928
102.8700,0.2656,-0.1455,0.0811,0.3134,5.1198,19.9003,194.2720,10.9423,176.6174
103.0224,0.2686,-0.1399,0.0809,0.3134,5.1122,19.8940,192.1556,8.8494,176.6465
103.1748,0.2683,-0.1401,0.0811,0.3134,5.1069,19.8910,192.1143,8.8283,176.6647
103.3272,0.2604,-0.1543,0.0810,0.3134,5.0907,19.8783,193.3802,10.1135,176.6803
103.4796,0.2560,-0.1616,0.0811,0.3134,5.0860,19.8748,196.8325,13.5033,176.6080
103.6320,0.2569,-0.1604,0.0811,0.3134,5.0844,19.8734,196.8336,13.4532,176.5572
103.7844,0.2628,-0.1503,0.0811,0.3134,5.0802,19.8683,195.4540,12.0054,176.4926
103.9368,0.2666,-0.1435,0.0809,0.3134,5.0741,19.8620,193.7002,10.1869,176.4354
104.0892,0.2679,-0.1411,0.0808,0.3134,5.0702,19.8565,192.6771,9.1153,176.3900
104.2416,0.2678,-0.1411,0.0807,0.3134,5.0713,19.8555,192.6493,9.0738,176.3765
104.3940,0.2691,-0.1385,0.0806,0.3134,5.0678,19.8518,192.3661,8.7426,176.3259
104.5464,0.2729,-0.1309,0.0807,0.3134,5.0637,19.8455,190.8257,7.1672,176.2983
104.6988,0.2668,-0.1434,0.0809,0.3134,5.0607,19.8415,192.0234,8.3335,176.2636
104.8512,0.2641,-0.1476,0.0811,0.3134,5.0590,19.8382,193.7802,10.0582,176.2261
105.0036,0.2669,-0.1433,0.0808,0.3133,5.0586,19.8365,193.6670,9.8984,176.1790
105.1560,0.2672,-0.1424,0.0807,0.3133,5.0605,19.8378,193.2159,9.4062,176.1403
105.3084,0.2681,-0.1404,0.0809,0.3133,5.0580,19.8328,193.0043,9.1824,176.1294
105.4608,0.2670,-0.1427,0.0809,0.3133,5.0607,19.8334,193.0987,9.2567,176.1083
105.6132,0.2701,-0.1367,0.0809,0.3133,5.0638,19.8330,192.1834,8.3234,176.0939
105.7656,0.2697,-0.1375,0.0809,0.3133,5.0644,19.8301,192.0557,8.1735,176.0720
105.9180,0.2692,-0.1386,0.0808,0.3133,5.0678,19.8280,192.3491,8.4401,176.0441
106.0704,0.2717,-0.1339,0.0808,0.3133,5.0710,19.8251,191.9570,8.0240,176.0206
106.2228,0.2751,-0.1256,0.0806,0.3134,5.0766,19.8240,190.7610,6.7843,175.9839
106.3752,0.2860,-0.0992,0.0805,0.3134,5.0817,19.8233,187.6801,94.8961,175.9391
106.5276,0.2897,-0.0883,0.0805,0.3134,5.0868,19.8230,183.2423,359.1477,175.8945
106.6800,0.2910,-0.0839,0.0805,0.3134,5.0906,19.8215,181.5156,357.3651,175.8435
106.8324,0.2934,-0.0743,0.0804,0.3134,5.0952,19.8210,180.6824,356.4725,175.7845
106.9848,0.2993,-0.0451,0.0803,0.3134,5.1001,19.8193,176.6713,352.4054,175.7454
107.1372,0.3025,-0.0195,0.0804,0.3134,5.1026,19.8153,170.2997,345.9708,175.7022
107.2896,0.3028,-0.0143,0.0805,0.3135,5.1061,19.8121,168.4283,344.0313,175.6480
107.4420,0.3031,-0.0096,0.0804,0.3135,5.1129,19.8135,167.9217,343.4617,175.5874
107.5944,0.3033,-0.0029,0.0804,0.3135,5.1144,19.8084,166.8271,342.3217,175.5456
107.7468,0.3031,-0.0037,0.0802,0.3135,5.1142,19.8022,166.3729,341.8334,175.5131
107.8992,0.3031,-0.0038,0.0803,0.3135,5.1192,19.8028,166.5615,341.9728,175.4632
108.0516,0.3031,-0.0012,0.0804,0.3135,5.1224,19.8022,166.2781,341.6397,175.4136
108.2040,0.3031,0.0009,0.0803,0.3135,5.1220,19.7972,165.7563,341.0697,175.3679
108.3564,0.3031,0.0011,0.0803,0.3136,5.1247,19.7941,165.6821,340.9670,175.3400
108.5088,0.3031,0.0016,0.0802,0.3135,5.1335,19.7960,165.5996,340.8712,175.3273
108.6612,0.3031,0.0053,0.0803,0.3135,5.1388,19.7936,165.0856,340.3528,175.3250
108.8136,0.3031,0.0105,0.0802,0.3135,5.1384,19.7852,164.1755,339.4383,175.3237
108.9660,0.3030,0.0111,0.0802,0.3135,5.1423,19.7825,163.8120,339.0526,175.3024
109.1184,0.3028,0.0106,0.0801,0.3135,5.1454,19.7799,163.8800,339.0954,175.2773
109.2708,0.3029,0.0061,0.0799,0.3135,5.1466,19.7755,164.3652,339.5747,175.2686
109.4232,0.3031,0.0021,0.0799,0.3135,5.1489,19.7728,164.9597,340.1666,175.2652
109.5756,0.3032,0.0034,0.0799,0.3135,5.1512,19.7703,165.1817,340.3869,175.2621
109.7280,0.3031,-0.0022,0.0796,0.3135,5.1524,19.7666,165.7500,340.9578,175.2609
