#HOLE:,940A
#LEG:,155
#TOP:,62.331600
#BOTTOM:,231.800400
DEPTH_WMSF,C1,C2
m,in,in
94.0308,11.2940,13.3643
94.1832,11.2610,13.2156
94.3356,11.2940,13.2900
94.4880,11.2704,13.2853
94.6404,11.2657,13.2807
94.7928,11.2704,13.2853
94.9452,11.2374,13.3272
95.0976,11.2374,13.3318
95.2500,11.2374,13.3318
95.4024,11.2374,13.3365
95.5548,11.2374,13.3318
95.7072,11.2374,13.2807
95.8596,11.2374,13.2993
96.0120,11.2610,13.3504
96.1644,11.2940,13.4432
96.3168,11.1008,13.2202
96.4692,11.0819,13.3922
96.6216,11.0677,13.3318
96.7740,11.0678,13.3272
96.9264,11.0866,13.3411
97.0788,11.0866,13.3690
97.2312,10.9593,13.2202
97.3836,10.9451,13.3365
97.5360,10.9357,13.4757
97.6884,10.9357,13.4850
97.8408,10.9357,13.4386
97.9932,10.9640,13.4850
98.1456,10.9734,13.4850
98.2980,11.0772,13.4200
98.4504,11.2092,13.3783
98.6028,11.2998,13.2488
98.7552,11.3364,13.1644
98.9076,11.3458,13.1551
99.0600,11.3741,13.1364
99.2124,11.4400,12.9920
99.3648,11.5012,12.9920
99.5172,11.5295,12.9780
99.6696,11.5389,13.0060
99.8220,11.5671,13.0106
99.9744,11.5671,12.9127
100.1268,11.6377,13.0060
100.2792,11.6459,13.3312
100.4316,11.6352,13.5114
100.5840,11.6412,13.5631
100.7364,11.6424,13.5592
100.8888,11.6236,13.4200
101.0412,11.5624,13.2481
101.1936,11.3741,13.4108
101.3460,11.4071,13.4711
101.4984,11.4071,13.4572
101.6508,11.3976,13.4664
101.8032,11.3835,13.4201
101.9556,11.3882,13.5592
102.1080,11.3882,13.4479
102.2604,11.3882,13.4293
102.4128,11.4070,13.2202
102.5652,11.2610,13.2156
102.7176,11.2516,13.2202
102.8700,11.2374,13.1970
103.0224,11.2186,13.2202
103.1748,11.2233,13.3829
103.3272,11.2352,13.3305
103.4796,11.2588,13.4001
103.6320,11.2610,13.4108
103.7844,11.2657,13.4108
103.9368,11.2704,13.4154
104.0892,11.2657,13.3783
104.2416,11.2987,13.3365
104.3940,11.3470,13.3882
104.5464,11.2940,13.3318
