#HOLE:,940A
#LEG:,155
#TOP:,0.000000
#BOTTOM:,237.134399
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
8.3820,27.0894,8.6915,1.6317,2.0785,0.1836,45.0902,17.5351,5.5110,0.5010,0.5010
8.5344,26.6868,9.2062,1.7108,1.9748,0.1980,43.5233,22.2797,6.2176,1.0363,0.0000
8.6868,26.8280,9.0249,1.6899,2.0113,0.1915,40.5406,16.5166,3.5035,3.5035,1.5015
8.8392,24.6701,8.1309,1.5302,1.8685,0.1710,46.0900,21.2325,2.5893,0.5179,0.5179
8.9916,23.8474,8.3741,1.5182,1.7481,0.1876,34.1615,16.5631,4.6584,1.5528,0.0000
9.1440,21.4486,8.3854,1.4797,1.4758,0.1959,40.5405,15.5155,3.0030,2.0020,1.0010
9.2964,22.4196,8.9295,1.6140,1.5240,0.2010,38.7998,10.8640,4.1386,0.5173,1.0347
9.4488,22.9181,9.0488,1.6821,1.5669,0.1945,45.5958,15.0259,3.6270,1.5544,1.5544
9.6012,25.0447,10.1949,1.8833,1.6776,0.2214,42.5213,18.0090,5.0025,0.5003,2.0010
9.7536,25.6702,10.7289,1.9523,1.6880,0.2389,51.7330,17.5892,3.1040,2.0693,0.5173
9.9060,25.3032,10.6815,1.9938,1.6518,0.2279,50.0751,14.5218,5.5083,1.5022,2.0030
10.0584,23.8361,10.1809,1.9774,1.5427,0.2020,45.0310,12.9400,5.6936,1.0352,0.0000
10.2108,23.6201,10.6743,2.0970,1.4625,0.2071,40.9115,13.9824,5.1787,0.5179,1.0357
10.3632,24.9636,11.8419,2.2979,1.4824,0.2354,50.1811,16.5546,4.1387,1.5520,0.0000
10.5156,25.3239,12.2381,2.3680,1.4783,0.2446,50.6721,20.1654,5.6877,0.0000,0.0000
10.6680,23.6588,11.7819,2.2887,1.3418,0.2337,44.0186,15.5360,3.6251,1.0357,1.0357
10.8204,21.8509,10.9774,2.1733,1.2284,0.2097,41.9472,11.3931,2.5893,1.0357,1.5536
10.9728,22.2844,11.1193,2.1566,1.2613,0.2213,40.8692,13.9680,4.1386,1.5520,0.5173
11.1252,22.6933,10.9304,2.1265,1.3289,0.2162,46.0000,18.0000,3.5000,0.0000,0.5000
