#HOLE:,940A
#LEG:,155
#TOP:,77.419197
#BOTTOM:,227.076004
DEPTH_WMSF,CALI
m,in
125.1204,15.0517
125.2728,14.9218
125.4252,14.9844
125.5776,15.0808
125.7300,15.2013
125.8824,15.1706
126.0348,15.0529
126.1872,15.1939
126.3396,15.4086
126.4920,15.4066
126.6444,15.4108
126.7968,15.3980
126.9492,15.2289
127.1016,15.1886
127.2540,14.9668
127.4064,15.1114
127.5588,15.3093
127.7112,15.2810
127.8636,15.3328
128.0160,15.2099
128.1684,15.1608
128.3208,15.1643
128.4732,15.1625
128.6256,15.3780
128.7780,15.3946
128.9304,15.2567
129.0828,15.2395
129.2352,15.4164
129.3876,15.4155
129.5400,15.4071
129.6924,15.4138
129.8448,15.3899
129.9972,15.3456
130.1496,15.3316
130.3020,15.3519
130.4544,15.4171
130.6068,15.4134
130.7592,15.4138
130.9116,15.4136
131.0640,15.4173
131.2164,15.3237
131.3688,15.3222
131.5212,15.3212
131.6736,15.3391
131.8260,15.4297
131.9784,15.4362
132.1308,15.4227
132.2832,15.4321
132.4356,15.4234
132.5880,15.4125
132.7404,15.4151
132.8928,15.4049
133.0452,15.4149
133.1976,15.3982
133.3500,15.4169
133.5024,15.4830
133.6548,15.4730
133.8072,15.4490
133.9596,15.4509
134.1120,15.3322
134.2644,15.1983
134.4168,15.2086
134.5692,15.2004
134.7216,15.2333
134.8740,15.3572
135.0264,15.3363
135.1788,15.2828
135.3312,15.1450
135.4836,15.0395
135.6360,15.6569
135.7884,17.9610
135.9408,16.1175
136.0932,15.2727
136.2456,15.4835
136.3980,15.4598
136.5504,15.2463
136.7028,15.3096
136.8552,15.1106
137.0076,15.1029
137.1600,15.0844
137.3124,15.0883
137.4648,15.6269
137.6172,16.2326
137.7696,15.7550
137.9220,15.3267
138.0744,15.5814
138.2268,16.0894
138.3792,15.1990
138.5316,15.2336
138.6840,15.2415
138.8364,14.9840
138.9888,14.9939
139.1412,15.1467
139.2936,15.1074
139.4460,15.1312
139.5984,15.1505
139.7508,15.0900
139.9032,15.0870
140.0556,15.0855
140.2080,15.1896
140.3604,15.4040
140.5128,15.4122
140.6652,15.4064
140.8176,15.4051
140.9700,15.3673
141.1224,15.0458
141.2748,15.0460
141.4272,15.0384
141.5796,14.9880
141.7320,14.9874
141.8844,14.9801
142.0368,14.9374
142.1892,14.8846
142.3416,15.0237
142.4940,14.8966
142.6464,14.8740
142.7988,14.7206
142.9512,14.6645
143.1036,14.6041
143.2560,14.6033
143.4084,14.6109
143.5608,14.5338
143.7132,14.4280
143.8656,14.4467
144.0180,14.4824
144.1704,14.6237
144.3228,14.9710
144.4752,15.0337
144.6276,14.8441
144.7800,14.6631
144.9324,14.6411
145.0848,15.3211
145.2372,15.3940
145.3896,15.3821
145.5420,15.2832
145.6944,14.6888
145.8468,14.9734
145.9992,15.0477
146.1516,14.9219
146.3040,14.7234
146.4564,14.7562
146.6088,14.6921
146.7612,14.6818
146.9136,14.6870
147.0660,14.6867
147.2184,14.7250
147.3708,14.7764
147.5232,14.7898
147.6756,14.8383
147.8280,14.8336
147.9804,14.8422
148.1328,14.8398
148.2852,15.2010
148.4376,15.3148
148.5900,15.1352
148.7424,14.9874
148.8948,14.9773
149.0472,15.0466
149.1996,14.8318
149.3520,14.8201
149.5044,14.8036
149.6568,14.9491
149.8092,14.9555
149.9616,15.3786
150.1140,15.3931
150.2664,15.0193
150.4188,15.0674
150.5712,15.1664
150.7236,14.9297
150.8760,14.7980
151.0284,14.8014
151.1808,14.9846
151.3332,15.1399
151.4856,15.2605
151.6380,14.9364
151.7904,15.1754
151.9428,15.3365
152.0952,15.2745
152.2476,14.9925
152.4000,15.3056
152.5524,15.4277
152.7048,15.4281
152.8572,15.4107
153.0096,15.1287
153.1620,14.7000
153.3144,14.4989
153.4668,14.4976
153.6192,14.4960
153.7716,14.6805
153.9240,15.6595
154.0764,15.7085
154.2288,15.7057
154.3812,15.7083
154.5336,15.7006
154.6860,16.3762
154.8384,16.9098
154.9908,15.9438
155.1432,15.0832
155.2956,14.9288
155.4480,15.0063
155.6004,14.7920
155.7528,15.0878
155.9052,15.2706
156.0576,15.1572
156.2100,14.8479
156.3624,15.0449
156.5148,14.6054
156.6672,14.5916
156.8196,14.5570
156.9720,14.7366
157.1244,14.9415
157.2768,14.8662
157.4292,14.9891
157.5816,15.2335
157.7340,15.1925
157.8864,14.9756
158.0388,15.0086
158.1912,14.9775
158.3436,15.0984
158.4960,14.9142
158.6484,15.1717
158.8008,15.4097
158.9532,15.2383
159.1056,15.1541
159.2580,15.1562
159.4104,15.1570
159.5628,15.3341
159.7152,15.2107
159.8676,15.2782
160.0200,15.2666
160.1724,15.1594
160.3248,15.0976
160.4772,15.4079
160.6296,15.3618
160.7820,15.0493
160.9344,14.9651
161.0868,14.9742
161.2392,14.9924
