#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
91.7448,88.6380,57.3122,10.7984,3.5390,1.2032,184.0048,66.1455,19.2423,3.6079,4.2093
91.8972,90.4907,58.1988,10.6744,3.6481,1.2793,196.4750,64.1433,23.6926,2.8893,3.4672
92.0496,91.7624,57.8650,10.4740,3.8295,1.2995,195.4299,62.5376,21.6476,4.2093,7.2159
92.2020,94.6534,56.1448,10.1527,4.3504,1.2628,194.7115,71.5144,15.0240,4.8077,6.6106
92.3544,95.6816,54.7294,9.8847,4.6265,1.2334,207.9327,78.7260,16.2260,7.8125,4.8077
92.5068,96.5884,53.6671,9.6124,4.8489,1.2253,199.3643,70.4999,14.4467,5.2008,8.6680
92.6592,100.6717,56.1390,10.0366,5.0310,1.2854,203.2471,72.1588,18.6410,3.0066,2.4053
92.8116,104.0856,59.1993,10.5320,5.0709,1.3657,231.8589,88.4649,25.4409,4.0474,4.0474
92.9640,107.4013,63.7211,11.2059,4.9347,1.4959,224.0240,75.6757,23.4234,9.0090,4.8048
93.1164,103.4362,62.9144,10.8251,4.5778,1.5242,213.9423,93.1490,21.0337,4.8077,3.6058
93.2688,99.9713,60.8845,10.3128,4.4157,1.5072,211.4996,73.3892,24.2704,6.9344,5.2008
93.4212,99.1550,57.8457,9.8899,4.6668,1.4138,203.2471,75.7667,19.2423,1.8040,2.4053
93.5736,100.0137,55.0341,9.5091,5.0815,1.3254,217.2782,75.1228,24.2704,3.4672,2.8893
93.7260,103.0176,54.2306,9.4259,5.5116,1.2950,217.6135,73.3393,19.8377,6.0114,4.8091
93.8784,101.7670,53.1933,9.0526,5.4875,1.3084,212.8683,82.3812,22.8503,3.0066,3.0066
94.0308,100.4071,52.6679,8.6273,5.3932,1.3619,198.9183,76.3221,25.2404,6.6106,4.2067
94.1832,96.9259,50.4698,8.0261,5.2483,1.3527,213.6876,69.8816,20.7912,5.7753,2.3101
94.3356,97.1168,48.0655,7.5263,5.5414,1.3115,189.3029,72.7163,18.6298,4.2067,7.2115
94.4880,95.6674,46.4621,7.3049,5.5588,1.2619,222.4895,66.1455,13.2291,3.6079,4.2093
94.6404,95.9692,46.0548,7.2808,5.6390,1.2429,194.8540,71.6970,21.9717,4.6256,5.2038
94.7928,94.3861,46.3859,7.2356,5.4227,1.2711,207.3317,66.7067,18.6298,3.6058,2.4038
94.9452,92.8030,46.0300,7.1800,5.2841,1.2614,198.6717,77.3895,20.7912,3.4652,2.3101
95.0976,91.9794,46.4282,7.2857,5.1460,1.2637,187.9880,76.2763,12.6126,7.2072,4.2042
95.2500,95.1094,49.4013,7.8710,5.1638,1.3211,189.6502,78.6354,19.0807,2.8910,2.3128
95.4024,97.3982,52.6486,8.5169,5.0555,1.3826,216.6065,84.8375,21.0590,3.6101,6.0168
95.5548,100.5047,56.3777,9.2362,4.9851,1.4575,210.2224,72.7693,17.9036,5.1978,4.6203
95.7072,100.4501,59.0369,9.8139,4.6786,1.4982,221.6216,77.4775,21.6216,2.4024,1.8018
95.8596,99.9655,59.6453,9.9091,4.5551,1.5148,215.6693,86.1521,24.2845,5.7820,2.8910
96.0120,99.2805,59.1867,9.7233,4.5295,1.5249,208.6590,78.1720,13.2291,5.4119,1.2026
96.1644,98.0727,57.1971,9.1690,4.6178,1.5186,220.6180,69.3041,17.9036,3.4652,4.6203
96.3168,99.6058,57.5593,9.1622,4.7501,1.5410,216.7004,71.0777,23.1147,7.5123,4.0451
96.4692,100.2557,57.9380,9.2429,4.7807,1.5471,217.6789,68.5508,24.6542,4.2093,3.6079
96.6216,98.5733,57.9432,9.2557,4.5901,1.5449,224.3423,71.6970,17.3461,2.3128,4.0474
96.7740,98.8966,59.3017,9.4495,4.4731,1.5857,192.1922,76.8769,25.2252,5.4054,6.0060
96.9264,100.6671,61.3492,9.7322,4.4418,1.6490,210.9217,78.5900,23.1147,5.2008,6.9344
97.0788,101.0432,61.6321,9.7904,4.4524,1.6540,233.3835,76.9925,22.2556,3.0075,7.2180
97.2312,99.6008,60.6080,9.6239,4.4051,1.6273,201.0979,80.9015,17.3360,4.6229,5.7787
97.3836,92.6829,57.5470,9.1411,3.9694,1.5444,204.8048,73.2733,22.2222,4.2042,6.0060
97.5360,93.0693,59.9032,9.6036,3.7469,1.5903,181.5554,69.3842,19.6589,3.4692,3.4692
97.6884,91.7845,60.8538,9.8157,3.4943,1.6037,207.3317,89.5433,14.4231,3.0048,1.8029
97.8408,94.4082,64.1347,10.3684,3.4201,1.6855,198.3232,76.9008,19.6589,0.5782,2.3128
97.9932,95.1009,64.3501,10.4866,3.4740,1.6747,195.3193,75.7007,19.0696,5.7787,5.2008
98.1456,94.7543,64.4083,10.5129,3.4283,1.6729,196.5144,92.5481,22.2356,4.8077,3.6058
98.2980,95.3319,63.8681,10.4760,3.5545,1.6487,200.4043,64.1063,19.6362,4.6203,4.0427
98.4504,98.5190,65.1955,10.5235,3.7646,1.7166,204.9279,69.7115,20.4327,4.8077,4.2067
98.6028,99.6090,63.6535,10.1638,4.0620,1.6979,235.9063,82.1047,21.9717,5.2038,5.7820
98.7552,100.9174,61.9572,9.7477,4.4014,1.6814,188.8154,82.9826,21.6476,4.2093,4.2093
98.9076,94.4301,55.3864,8.7058,4.4109,1.5047,218.2802,71.5574,19.8437,3.0066,2.4053
99.0600,96.4837,55.2664,8.7364,4.6564,1.4916,188.9627,65.8769,19.6475,3.4672,5.2008
99.2124,94.4788,54.7397,8.7171,4.4894,1.4648,203.0030,87.0871,19.2192,6.0060,5.4054
99.3648,96.8900,57.3526,9.1887,4.4666,1.5237,194.7414,72.2335,20.8032,5.2008,4.6229
99.5172,95.2794,57.6160,9.1454,4.2549,1.5476,204.4498,71.5574,23.4516,5.4119,6.0132
99.6696,98.3957,59.9739,9.4208,4.3406,1.6305,216.2475,70.5406,15.0332,5.2038,2.8910
99.8220,97.5718,60.7424,9.4128,4.1607,1.6768,218.7500,81.1298,25.2404,2.4038,4.2067
99.9744,95.7187,61.5363,9.4741,3.8617,1.7109,198.9183,76.3221,21.0337,5.4087,5.4087
100.1268,94.8451,62.9919,9.6259,3.5985,1.7657,202.4632,64.8843,22.8297,3.0039,1.2016
100.2792,93.7431,63.3000,9.6655,3.4392,1.7758,214.6370,80.9951,20.8273,4.6283,3.4712
100.4316,92.3033,62.5610,9.6177,3.3601,1.7422,199.7593,70.3971,17.4489,6.0168,4.2118
100.5840,90.4534,59.7281,9.2755,3.4711,1.6449,177.2837,71.5144,21.0337,6.0096,4.8077
100.7364,90.3600,58.9391,9.2279,3.5497,1.6084,217.1528,58.3309,19.6362,5.1978,4.0427
100.8888,92.0186,60.5779,9.4503,3.5519,1.6598,200.7212,61.8990,24.0385,4.8077,6.0096
101.0412,92.4273,61.8631,9.5963,3.4529,1.7058,210.4655,61.8676,21.9717,2.8910,2.3128
101.1936,91.6632,62.7510,9.6559,3.2663,1.7458,212.2670,72.7601,22.2489,3.6079,1.8040
101.3460,90.8675,61.3892,9.5141,3.3302,1.6945,183.5138,77.0156,21.6607,3.6101,4.8135
101.4984,89.1362,61.2824,9.5878,3.1467,1.6737,197.1668,62.4458,21.3935,2.8910,5.2038
101.6508,89.1861,62.2412,9.9251,3.0440,1.6628,192.3077,65.5048,28.2452,4.8077,4.8077
101.8032,89.9877,65.7587,10.5367,2.7372,1.7468,196.8788,70.2281,15.6062,1.8007,6.0024
101.9556,91.5320,68.4923,10.9496,2.6029,1.8244,200.0578,69.9624,19.6589,5.7820,4.6256
102.1080,93.5980,71.0511,11.2532,2.5472,1.9134,209.4493,75.2332,20.4634,4.8149,3.0093
102.2604,94.9790,72.6933,11.4114,2.5177,1.9778,208.8516,75.7883,20.2488,6.9424,3.4712
102.4128,97.9864,75.3207,11.7962,2.5606,2.0547,218.4874,64.2257,19.8079,6.6026,7.2029
102.5652,97.8800,75.5374,11.8069,2.5241,2.0652,216.9471,88.3413,30.0481,2.4038,6.0096
102.7176,99.7375,77.3703,12.1693,2.5269,2.1003,213.4375,66.0938,21.9570,6.9063,4.0703
102.8700,94.4331,73.1981,11.5894,2.3990,1.9720,220.8750,82.5000,20.1836,3.5195,6.2813
103.0224,94.5927,71.8831,11.4421,2.5656,1.9245,190.5313,73.2109,17.6719,5.9766,2.6094
