#HOLE:,940a
#LEG:,155
#TOP:,62.179199
#BOTTOM:,231.800400
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
70.5612,17.6853,13.3150,2.7057,0.4937,0.2406,35.6808,18.7793,1.8779,0.0000,1.8779
70.7136,18.1081,15.0782,2.9511,0.3423,0.2948,46.0310,28.1822,5.6364,0.0000,0.0000
70.8660,19.6958,17.1321,3.2016,0.2896,0.3649,47.9323,18.7970,5.6391,0.9398,1.8797
71.0184,20.3206,17.6149,3.2672,0.3057,0.3800,58.2707,19.7368,3.7594,0.9398,0.0000
71.1708,19.6938,17.5373,3.1836,0.2436,0.3920,59.1549,20.6573,10.3286,1.8779,0.0000
71.3232,19.1945,17.4016,3.1515,0.2025,0.3905,45.0704,21.5962,1.8779,0.9390,2.8169
71.4756,18.0378,16.7458,2.9093,0.1460,0.4001,50.7042,22.5352,4.6948,1.8779,0.0000
71.6280,21.7312,20.4499,3.3816,0.1447,0.5225,51.6674,21.6064,1.8788,0.9394,3.7576
71.7804,23.1025,22.6570,3.5919,0.0503,0.6095,78.8732,32.8638,8.4507,0.0000,1.8779
71.9328,31.0186,31.6147,4.8998,-0.0673,0.8726,57.1429,30.0752,8.0201,2.0050,3.0075
72.0852,37.8217,37.2663,5.7931,0.0628,1.0252,124.0602,40.4135,13.1579,2.8195,5.6391
72.2376,46.6410,44.1779,6.8573,0.2783,1.2173,141.7840,47.8873,12.2066,0.0000,3.7559
72.3900,52.8521,47.9184,7.4266,0.5574,1.3226,148.3568,46.0094,10.3286,1.8779,1.8779
72.5424,57.1924,53.2783,8.3712,0.4422,1.4480,179.2586,52.5575,19.7091,2.8156,2.8156
72.6948,62.2403,58.9920,9.4102,0.3670,1.5754,185.1504,52.6316,9.3985,3.7594,5.6391
72.8472,65.4628,62.9433,10.1050,0.2846,1.6682,176.6917,69.5489,17.8571,0.9398,3.7594
72.9996,64.1575,60.7016,9.7039,0.3904,1.6169,194.5489,64.8496,21.6165,4.6992,6.5789
73.1520,63.1170,58.2606,9.2776,0.5486,1.5590,154.9296,58.2160,15.9624,0.9390,2.8169
73.3044,65.0934,57.8174,9.2215,0.8220,1.5443,169.0141,51.6432,18.7793,1.8779,2.8169
73.4568,69.9391,60.8023,9.6470,1.0322,1.6340,199.1992,73.0731,22.0220,2.0020,6.0060
