#HOLE:,940A
#LEG:,155
#TOP:,75.895203
#BOTTOM:,235.000793
DEPTH_WMSF,IDPH,IMPH,SFLU
m,ohmm,ohmm,ohmm
99.5172,1.4095,1.3742,1.3196
99.6696,1.4107,1.3782,1.3137
99.8220,1.4122,1.3800,1.3109
99.9744,1.4125,1.3797,1.3145
100.1268,1.4120,1.3779,1.3192
100.2792,1.4134,1.3756,1.2982
100.4316,1.4103,1.3729,1.2908
100.5840,1.4090,1.3695,1.2867
100.7364,1.4083,1.3657,1.2795
100.8888,1.4080,1.3622,1.2791
101.0412,1.4072,1.3603,1.2874
101.1936,1.4067,1.3606,1.2736
101.3460,1.4057,1.3624,1.3032
101.4984,1.4021,1.3641,1.2779
101.6508,1.4026,1.3644,1.2805
101.8032,1.4035,1.3630,1.2771
101.9556,1.4040,1.3602,1.2932
102.1080,1.4042,1.3578,1.2948
102.2604,1.4018,1.3578,1.2770
102.4128,1.4064,1.3605,1.2985
102.5652,1.4019,1.3641,1.3198
102.7176,1.4015,1.3655,1.3259
102.8700,1.4013,1.3628,1.3273
103.0224,1.4012,1.3570,1.3112
103.1748,1.4048,1.3518,1.3158
103.3272,1.4037,1.3498,1.2898
103.4796,1.4015,1.3509,1.2606
103.6320,1.3998,1.3531,1.2599
103.7844,1.3946,1.3550,1.2646
103.9368,1.3942,1.3563,1.2499
104.0892,1.3936,1.3580,1.2567
104.2416,1.3942,1.3606,1.2536
104.3940,1.3932,1.3634,1.2495
104.5464,1.3912,1.3647,1.2551
104.6988,1.3939,1.3639,1.2814
104.8512,1.3908,1.3613,1.2776
105.0036,1.3886,1.3578,1.2737
105.1560,1.3888,1.3548,1.3210
105.3084,1.3821,1.3523,1.2748
105.4608,1.3794,1.3490,1.3050
105.6132,1.3792,1.3448,1.2433
105.7656,1.3790,1.3425,1.2085
105.9180,1.3793,1.3447,1.2058
106.0704,1.3855,1.3524,1.2060
106.2228,1.3876,1.3631,1.2398
106.3752,1.3883,1.3708,1.3102
106.5276,1.3878,1.3712,1.3188
106.6800,1.3858,1.3654,1.3191
106.8324,1.3848,1.3575,1.3193
106.9848,1.3834,1.3487,1.2877
107.1372,1.3778,1.3377,1.2437
107.2896,1.3670,1.3232,1.2179
107.4420,1.3597,1.3064,1.2116
107.5944,1.3575,1.2918,1.2090
107.7468,1.3585,1.2852,1.1915
107.8992,1.3568,1.2894,1.1949
108.0516,1.3619,1.3030,1.2311
108.2040,1.3634,1.3222,1.2904
108.3564,1.3644,1.3410,1.3195
108.5088,1.3694,1.3534,1.3431
108.6612,1.3771,1.3566,1.3105
108.8136,1.3812,1.3528,1.2968
108.9660,1.3806,1.3470,1.2423
109.1184,1.3865,1.3428,1.2594
109.2708,1.3863,1.3413,1.2592
109.4232,1.3875,1.3423,1.2628
109.5756,1.3900,1.3460,1.1830
109.7280,1.3965,1.3525,1.1688
109.8804,1.3946,1.3604,1.1846
110.0328,1.3941,1.3665,1.2224
110.1852,1.3948,1.3669,1.3295
110.3376,1.3965,1.3610,1.3303
110.4900,1.3981,1.3526,1.2912
110.6424,1.3980,1.3488,1.2579
110.7948,1.4017,1.3548,1.2505
110.9472,1.4171,1.3714,1.2453
111.0996,1.4171,1.3930,1.2640
111.2520,1.4172,1.4103,1.3167
111.4044,1.4116,1.4170,1.3241
111.5568,1.4098,1.4130,1.3115
111.7092,1.4084,1.4010,1.3306
111.8616,1.4039,1.3835,1.2630
112.0140,1.4020,1.3635,1.2515
112.1664,1.4023,1.3457,1.2073
112.3188,1.3956,1.3359,1.1995
112.4712,1.3823,1.3371,1.1759
112.6236,1.3802,1.3466,1.1803
112.7760,1.3812,1.3575,1.2543
112.9284,1.3814,1.3649,1.2661
113.0808,1.3875,1.3682,1.2498
113.2332,1.3846,1.3664,1.2660
113.3856,1.3814,1.3572,1.2706
113.5380,1.3661,1.3402,1.2709
113.6904,1.3613,1.3195,1.2692
113.8428,1.3558,1.3018,1.2795
113.9952,1.3428,1.2923,1.2146
114.1476,1.3355,1.2911,1.1876
114.3000,1.3346,1.2929,1.1839
114.4524,1.3326,1.2925,1.2307
114.6048,1.3273,1.2889,1.2193
114.7572,1.3410,1.2859,1.2361
114.9096,1.3481,1.2891,1.1996
115.0620,1.3629,1.3017,1.2462
115.2144,1.3737,1.3215,1.2463
115.3668,1.3810,1.3426,1.2095
115.5192,1.4024,1.3608,1.3032
115.6716,1.4189,1.3759,1.3515
115.8240,1.4233,1.3884,1.3699
115.9764,1.4271,1.3944,1.3558
116.1288,1.4341,1.3888,1.3155
116.2812,1.4391,1.3738,1.2995
116.4336,1.4414,1.3610,1.2075
116.5860,1.4412,1.3610,1.2138
116.7384,1.4411,1.3741,1.3027
116.8908,1.4294,1.3902,1.3414
117.0432,1.4218,1.3964,1.3343
117.1956,1.4185,1.3864,1.3261
117.3480,1.4231,1.3637,1.3314
117.5004,1.4216,1.3378,1.3311
117.6528,1.4298,1.3196,1.3208
117.8052,1.4349,1.3195,1.1883
117.9576,1.4374,1.3429,1.2507
118.1100,1.4429,1.3857,1.2954
118.2624,1.4502,1.4325,1.2253
118.4148,1.4551,1.4628,1.2991
118.5672,1.4612,1.4641,1.4663
118.7196,1.4709,1.4425,1.4306
118.8720,1.4726,1.4149,1.4204
119.0244,1.4688,1.3937,1.2996
119.1768,1.4678,1.3816,1.2536
119.3292,1.4440,1.3747,1.2738
119.4816,1.4334,1.3675,1.2935
119.6340,1.4380,1.3577,1.2201
119.7864,1.4285,1.3479,1.1734
119.9388,1.4009,1.3415,1.2575
120.0912,1.3916,1.3384,1.2269
120.2436,1.3897,1.3370,1.2573
120.3960,1.3891,1.3359,1.2724
120.5484,1.3922,1.3346,1.2581
120.7008,1.3968,1.3341,1.2470
120.8532,1.3979,1.3368,1.2991
121.0056,1.4025,1.3440,1.2801
121.1580,1.4068,1.3544,1.2805
121.3104,1.4071,1.3642,1.2817
121.4628,1.4073,1.3690,1.2613
121.6152,1.4073,1.3661,1.2093
121.7676,1.4014,1.3571,1.1901
121.9200,1.3960,1.3460,1.1721
122.0724,1.3929,1.3369,1.2147
122.2248,1.3900,1.3318,1.2220
122.3772,1.3833,1.3305,1.2165
122.5296,1.3857,1.3325,1.2121
122.6820,1.3861,1.3379,1.2101
122.8344,1.3855,1.3458,1.2909
122.9868,1.3875,1.3532,1.3073
123.1392,1.3884,1.3568,1.3548
123.2916,1.3925,1.3551,1.3116
123.4440,1.3931,1.3508,1.2473
123.5964,1.3957,1.3482,1.2407
123.7488,1.4041,1.3496,1.2542
123.9012,1.4035,1.3536,1.2287
124.0536,1.3999,1.3556,1.2646
124.2060,1.3774,1.3518,1.2617
124.3584,1.3738,1.3419,1.2574
124.5108,1.3727,1.3290,1.2645
124.6632,1.3738,1.3177,1.2465
124.8156,1.3903,1.3126,1.2292
124.9680,1.3939,1.3153,1.2125
125.1204,1.3913,1.3229,1.2415
125.2728,1.3718,1.3307,1.3447
125.4252,1.3563,1.3329,1.3130
125.5776,1.3336,1.3217,1.3416
125.7300,1.3198,1.2924,1.1681
125.8824,1.3129,1.2511,1.1301
126.0348,1.3067,1.2103,1.1242
126.1872,1.3009,1.1814,1.0494
126.3396,1.2592,1.1679,1.0550
126.4920,1.2285,1.1638,1.0722
126.6444,1.2272,1.1588,1.0751
126.7968,1.2183,1.1474,1.0566
126.9492,1.2215,1.1325,1.0566
127.1016,1.2375,1.1237,1.0596
127.2540,1.2622,1.1322,0.9885
127.4064,1.2735,1.1628,0.9533
127.5588,1.2795,1.2104,0.9522
127.7112,1.2831,1.2655,1.0031
127.8636,1.3463,1.3188,1.2532
128.0160,1.3952,1.3619,1.3893
128.1684,1.3986,1.3871,1.4806
128.3208,1.3904,1.3899,1.4756
128.4732,1.3624,1.3707,1.4772
128.6256,1.3553,1.3373,1.4853
128.7780,1.3338,1.2999,1.1852
128.9304,1.3209,1.2626,0.9969
129.0828,1.3070,1.2260,0.9936
129.2352,1.2654,1.1954,1.0079
129.3876,1.2553,1.1785,1.0288
129.5400,1.2495,1.1771,1.0388
129.6924,1.2430,1.1849,1.0900
129.8448,1.2378,1.1935,1.1010
129.9972,1.2356,1.1945,1.1230
130.1496,1.2289,1.1820,1.1024
130.3020,1.2192,1.1581,1.0458
130.4544,1.2271,1.1345,1.0154
130.6068,1.2283,1.1239,0.9697
130.7592,1.2290,1.1335,0.9712
130.9116,1.2296,1.1616,0.9720
131.0640,1.2307,1.1970,1.0194
131.2164,1.2312,1.2232,1.1750
131.3688,1.2389,1.2301,1.0848
131.5212,1.2605,1.2195,1.0636
131.6736,1.2452,1.1990,1.0680
131.8260,1.2287,1.1772,1.0659
131.9784,1.2219,1.1596,1.0660
