Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Vel.(m/s)
155	 940	A	  3	H	 1	  24.50	      12.545	 1530.400
155	 940	A	  3	H	 1	  27.00	      12.570	 2036.500
155	 940	A	  3	H	 1	  29.50	      12.595	 1538.000
155	 940	A	  3	H	 1	  32.00	      12.620	 1455.600
155	 940	A	  3	H	 1	  37.00	      12.670	 2036.500
155	 940	A	  3	H	 1	  39.50	      12.695	 2033.100
155	 940	A	  3	H	 1	  42.20	      12.722	 2036.500
155	 940	A	  3	H	 1	  44.70	      12.747	 2036.500
155	 940	A	  3	H	 1	  47.20	      12.772	 2036.500
155	 940	A	  3	H	 1	  52.00	      12.820	 2036.500
155	 940	A	  3	H	 1	  54.50	      12.845	 2023.300
155	 940	A	  3	H	 1	  57.00	      12.870	 2035.700
155	 940	A	  3	H	 1	  59.60	      12.896	 2039.000
155	 940	A	  3	H	 1	  62.00	      12.920	 2041.500
155	 940	A	  3	H	 1	  67.00	      12.970	 2039.000
155	 940	A	  3	H	 1	  69.60	      12.996	 1615.300
155	 940	A	  3	H	 1	  72.20	      13.022	 1532.400
155	 940	A	  3	H	 1	  74.50	      13.045	 1995.300
155	 940	A	  3	H	 1	  77.20	      13.072	 1538.100
155	 940	A	  3	H	 1	  82.00	      13.120	 1609.000
155	 940	A	  3	H	 1	  84.50	      13.145	 1532.500
155	 940	A	  3	H	 1	  87.10	      13.171	 1515.800
155	 940	A	  3	H	 1	  89.60	      13.196	 1528.700
155	 940	A	  3	H	 1	  92.00	      13.220	 1538.100
155	 940	A	  3	H	 1	  94.60	      13.246	 1541.900
155	 940	A	  3	H	 1	  97.10	      13.271	 1543.800
155	 940	A	  3	H	 1	  99.50	      13.295	 2043.300
155	 940	A	  3	H	 1	 102.10	      13.321	 1538.100
155	 940	A	  3	H	 1	 104.50	      13.345	 1563.000
155	 940	A	  3	H	 1	 107.00	      13.370	 1541.900
155	 940	A	  3	H	 1	 109.60	      13.396	 1555.200
155	 940	A	  3	H	 1	 112.00	      13.420	 1543.800
155	 940	A	  3	H	 1	 114.50	      13.445	 1762.400
155	 940	A	  3	H	 1	 117.00	      13.470	 1553.300
155	 940	A	  3	H	 1	 119.50	      13.495	 1545.700
155	 940	A	  3	H	 1	 122.10	      13.521	 1540.000
155	 940	A	  3	H	 1	 124.50	      13.545	 2025.000
155	 940	A	  3	H	 1	 127.00	      13.570	 1541.800
155	 940	A	  3	H	 1	 129.50	      13.595	 1530.400
155	 940	A	  3	H	 1	 132.20	      13.622	 1530.400
155	 940	A	  3	H	 1	 134.50	      13.645	 1718.000
155	 940	A	  3	H	 1	 137.10	      13.671	 1876.100
155	 940	A	  3	H	 1	 139.50	      13.695	 1192.900
155	 940	A	  3	H	 1	 142.00	      13.720	 1979.300
155	 940	A	  3	H	 1	 144.60	      13.746	 1180.100
155	 940	A	  3	H	 1	 147.20	      13.772	 1763.100
155	 940	A	  3	H	 1	 149.50	      13.795	 1604.500
155	 940	A	  3	H	 2	   5.00	      13.850	 1985.700
155	 940	A	  3	H	 2	   7.00	      13.870	 1988.200
155	 940	A	  3	H	 2	   9.60	      13.896	 1995.900
155	 940	A	  3	H	 2	  12.00	      13.920	 1500.200
155	 940	A	  3	H	 2	  14.50	      13.945	 1500.200
155	 940	A	  3	H	 2	  17.00	      13.970	 1442.300
155	 940	A	  3	H	 2	  22.00	      14.020	 1533.900
155	 940	A	  3	H	 2	  24.50	      14.045	 1509.400
155	 940	A	  3	H	 2	  27.00	      14.070	 1515.000
155	 940	A	  3	H	 2	  29.50	      14.095	 1532.000
155	 940	A	  3	H	 2	  32.00	      14.120	 1496.600
155	 940	A	  3	H	 2	  37.00	      14.170	 1509.400
155	 940	A	  3	H	 2	  39.50	      14.195	 1500.200
155	 940	A	  3	H	 2	  42.10	      14.221	 1498.400
155	 940	A	  3	H	 2	  44.60	      14.246	 1502.100
155	 940	A	  3	H	 2	  47.10	      14.271	 1509.500
155	 940	A	  3	H	 2	  52.10	      14.321	 1519.000
155	 940	A	  3	H	 2	  54.50	      14.345	 1522.700
155	 940	A	  3	H	 2	  57.10	      14.371	 1515.300
155	 940	A	  3	H	 2	  59.60	      14.396	 1517.200
155	 940	A	  3	H	 2	  62.00	      14.420	 1515.400
155	 940	A	  3	H	 2	  67.00	      14.470	 1555.200
155	 940	A	  3	H	 2	  69.60	      14.496	 1522.900
155	 940	A	  3	H	 2	  72.00	      14.520	 1524.800
155	 940	A	  3	H	 2	  74.60	      14.546	 1534.200
155	 940	A	  3	H	 2	  77.00	      14.570	 1449.600
155	 940	A	  3	H	 2	  82.00	      14.620	 1521.200
155	 940	A	  3	H	 2	  84.50	      14.645	 1532.400
155	 940	A	  3	H	 2	  87.00	      14.670	 1530.500
155	 940	A	  3	H	 2	  89.60	      14.696	 1541.800
155	 940	A	  3	H	 2	  92.10	      14.721	 1549.400
155	 940	A	  3	H	 2	  94.50	      14.745	 1555.200
155	 940	A	  3	H	 2	  97.00	      14.770	 1539.900
155	 940	A	  3	H	 2	  99.50	      14.795	 1526.800
155	 940	A	  3	H	 2	 102.20	      14.822	 1532.400
155	 940	A	  3	H	 2	 104.50	      14.845	 1532.400
155	 940	A	  3	H	 2	 107.00	      14.870	 1539.900
155	 940	A	  3	H	 2	 109.60	      14.896	 1538.100
155	 940	A	  3	H	 2	 112.10	      14.921	 1536.200
155	 940	A	  3	H	 2	 114.50	      14.945	 1532.500
155	 940	A	  3	H	 2	 117.00	      14.970	 1532.500
155	 940	A	  3	H	 2	 119.60	      14.996	 1541.900
155	 940	A	  3	H	 2	 122.10	      15.021	 1540.000
155	 940	A	  3	H	 2	 124.60	      15.046	 1532.500
155	 940	A	  3	H	 2	 127.00	      15.070	 1532.400
155	 940	A	  3	H	 2	 129.50	      15.095	 1551.400
155	 940	A	  3	H	 2	 132.10	      15.121	 1539.900
155	 940	A	  3	H	 2	 134.50	      15.145	 1528.600
155	 940	A	  3	H	 2	 137.00	      15.170	 1536.100
155	 940	A	  3	H	 2	 139.70	      15.197	 1539.800
155	 940	A	  3	H	 2	 142.20	      15.222	 1524.700
155	 940	A	  3	H	 2	 144.60	      15.246	 1445.600
155	 940	A	  3	H	 2	 147.00	      15.270	 1608.800
155	 940	A	  3	H	 2	 149.60	      15.296	 1285.800
155	 940	A	  3	H	 3	   4.90	      15.349	 2000.200
155	 940	A	  3	H	 3	   7.00	      15.370	 2015.400
155	 940	A	  3	H	 3	   9.60	      15.396	 2021.200
155	 940	A	  3	H	 3	  12.20	      15.422	 2033.900
155	 940	A	  3	H	 3	  14.50	      15.445	 2033.900
155	 940	A	  3	H	 3	  17.00	      15.470	 2033.900
155	 940	A	  3	H	 3	  22.00	      15.520	 2033.100
155	 940	A	  3	H	 3	  24.50	      15.545	 2007.000
155	 940	A	  3	H	 3	  27.10	      15.571	 2026.600
155	 940	A	  3	H	 3	  29.70	      15.597	 2036.500
155	 940	A	  3	H	 3	  32.00	      15.620	 2036.500
155	 940	A	  3	H	 3	  37.00	      15.670	 1526.700
155	 940	A	  3	H	 3	  39.50	      15.695	 1534.200
155	 940	A	  3	H	 3	  42.00	      15.720	 1541.800
155	 940	A	  3	H	 3	  44.60	      15.746	 1536.100
155	 940	A	  3	H	 3	  47.00	      15.770	 1841.900
155	 940	A	  3	H	 3	  52.00	      15.820	 1526.800
155	 940	A	  3	H	 3	  54.50	      15.845	 1530.600
155	 940	A	  3	H	 3	  57.10	      15.871	 2040.700
155	 940	A	  3	H	 3	  59.70	      15.897	 2027.600
155	 940	A	  3	H	 3	  62.00	      15.920	 1528.800
155	 940	A	  3	H	 3	  67.00	      15.970	 1543.800
155	 940	A	  3	H	 3	  69.60	      15.996	 1983.800
155	 940	A	  3	H	 3	  72.10	      16.021	 1541.900
155	 940	A	  3	H	 3	  74.50	      16.045	 1551.400
155	 940	A	  3	H	 3	  77.00	      16.070	 1559.100
155	 940	A	  3	H	 3	  82.20	      16.122	 1547.600
155	 940	A	  3	H	 3	  84.50	      16.145	 1551.400
155	 940	A	  3	H	 3	  87.10	      16.171	 1547.600
155	 940	A	  3	H	 3	  89.60	      16.196	 1549.500
155	 940	A	  3	H	 3	  92.10	      16.221	 1547.600
155	 940	A	  3	H	 3	  94.60	      16.246	 1555.200
155	 940	A	  3	H	 3	  97.00	      16.270	 1553.300
155	 940	A	  3	H	 3	  99.50	      16.295	 2011.900
155	 940	A	  3	H	 3	 102.00	      16.320	 2064.400
155	 940	A	  3	H	 3	 104.50	      16.345	 1547.600
155	 940	A	  3	H	 3	 107.00	      16.370	 1549.500
155	 940	A	  3	H	 3	 109.50	      16.395	 1977.400
155	 940	A	  3	H	 3	 112.00	      16.420	 1564.800
155	 940	A	  3	H	 3	 114.50	      16.445	 1559.100
155	 940	A	  3	H	 3	 117.00	      16.470	 1557.200
155	 940	A	  3	H	 3	 119.50	      16.495	 2050.200
155	 940	A	  3	H	 3	 122.10	      16.521	 2030.500
155	 940	A	  3	H	 3	 124.50	      16.545	 1902.700
155	 940	A	  3	H	 3	 127.10	      16.571	 1561.000
155	 940	A	  3	H	 3	 129.60	      16.596	 1261.500
155	 940	A	  3	H	 3	 132.00	      16.620	 1498.300
155	 940	A	  3	H	 3	 134.70	      16.647	 1255.300
155	 940	A	  3	H	 3	 137.10	      16.671	 1937.500
155	 940	A	  3	H	 3	 139.50	      16.695	 1257.800
155	 940	A	  3	H	 3	 142.00	      16.720	 1316.000
155	 940	A	  3	H	 3	 144.70	      16.747	 1973.900
155	 940	A	  3	H	 3	 147.00	      16.770	 1126.300
155	 940	A	  3	H	 3	 149.70	      16.797	 2008.100
155	 940	A	  3	H	 4	   5.00	      16.850	 1995.900
155	 940	A	  3	H	 4	   7.20	      16.872	 2011.100
155	 940	A	  3	H	 4	   9.60	      16.896	 2018.700
155	 940	A	  3	H	 4	  12.00	      16.920	 2020.500
155	 940	A	  3	H	 4	  14.50	      16.945	 1547.500
155	 940	A	  3	H	 4	  17.00	      16.970	 1526.700
155	 940	A	  3	H	 4	  22.00	      17.020	 1526.700
155	 940	A	  3	H	 4	  24.50	      17.045	 1530.400
155	 940	A	  3	H	 4	  27.00	      17.070	 1561.000
155	 940	A	  3	H	 4	  29.70	      17.097	 1517.400
155	 940	A	  3	H	 4	  32.00	      17.120	 1524.800
155	 940	A	  3	H	 4	  37.00	      17.170	 1526.700
155	 940	A	  3	H	 4	  39.60	      17.196	 1521.100
155	 940	A	  3	H	 4	  42.10	      17.221	 1523.000
155	 940	A	  3	H	 4	  44.50	      17.245	 1530.500
155	 940	A	  3	H	 4	  47.00	      17.270	 1465.900
155	 940	A	  3	H	 4	  52.10	      17.321	 1526.700
155	 940	A	  3	H	 4	  54.50	      17.345	 1539.900
155	 940	A	  3	H	 4	  57.20	      17.372	 1528.600
155	 940	A	  3	H	 4	  59.70	      17.397	 1532.300
155	 940	A	  3	H	 4	  62.30	      17.423	 1519.300
155	 940	A	  3	H	 4	  67.00	      17.470	 1538.000
155	 940	A	  3	H	 4	  69.50	      17.495	 1538.000
155	 940	A	  3	H	 4	  72.00	      17.520	 1539.900
155	 940	A	  3	H	 4	  74.50	      17.545	 1532.400
155	 940	A	  3	H	 4	  77.20	      17.572	 1538.100
155	 940	A	  3	H	 4	  82.00	      17.620	 1543.800
155	 940	A	  3	H	 4	  84.50	      17.645	 1549.500
155	 940	A	  3	H	 4	  87.10	      17.671	 1553.300
155	 940	A	  3	H	 4	  89.70	      17.697	 1551.400
155	 940	A	  3	H	 4	  92.10	      17.721	 1555.200
155	 940	A	  3	H	 4	  94.60	      17.746	 1557.200
155	 940	A	  3	H	 4	  97.00	      17.770	 1549.500
155	 940	A	  3	H	 4	  99.50	      17.795	 1545.700
155	 940	A	  3	H	 4	 102.10	      17.821	 1545.800
155	 940	A	  3	H	 4	 104.50	      17.845	 1553.300
155	 940	A	  3	H	 4	 107.00	      17.870	 1549.500
155	 940	A	  3	H	 4	 109.50	      17.895	 1553.300
155	 940	A	  3	H	 4	 112.00	      17.920	 1549.500
155	 940	A	  3	H	 4	 114.50	      17.945	 1557.100
155	 940	A	  3	H	 4	 117.00	      17.970	 1549.500
155	 940	A	  3	H	 4	 119.60	      17.996	 1553.300
155	 940	A	  3	H	 4	 122.10	      18.021	 1541.800
155	 940	A	  3	H	 4	 124.50	      18.045	 1545.600
155	 940	A	  3	H	 4	 127.00	      18.070	 1545.600
155	 940	A	  3	H	 4	 129.50	      18.095	 1538.000
155	 940	A	  3	H	 4	 132.00	      18.120	 1539.900
155	 940	A	  3	H	 4	 134.50	      18.145	 1538.000
155	 940	A	  3	H	 4	 137.10	      18.171	 1538.000
155	 940	A	  3	H	 4	 139.50	      18.195	 1563.000
155	 940	A	  3	H	 4	 142.20	      18.222	 1578.700
155	 940	A	  3	H	 4	 144.60	      18.246	 1433.700
155	 940	A	  3	H	 4	 147.10	      18.271	 1480.600
155	 940	A	  3	H	 4	 149.50	      18.295	 1906.100
155	 940	A	  3	H	 5	   5.00	      18.350	 1993.700
155	 940	A	  3	H	 5	   7.00	      18.370	 1532.000
155	 940	A	  3	H	 5	   9.50	      18.395	 1528.200
155	 940	A	  3	H	 5	  12.20	      18.422	 1561.100
155	 940	A	  3	H	 5	  14.70	      18.447	 1545.500
155	 940	A	  3	H	 5	  17.00	      18.470	 1535.900
155	 940	A	  3	H	 5	  22.00	      18.520	 1559.100
155	 940	A	  3	H	 5	  24.50	      18.545	 1553.200
155	 940	A	  3	H	 5	  27.10	      18.571	 1549.300
155	 940	A	  3	H	 5	  29.70	      18.597	 1555.200
155	 940	A	  3	H	 5	  32.00	      18.620	 1534.000
155	 940	A	  3	H	 5	  37.00	      18.670	 1535.900
155	 940	A	  3	H	 5	  39.50	      18.695	 1567.000
155	 940	A	  3	H	 5	  42.20	      18.722	 1539.700
155	 940	A	  3	H	 5	  44.70	      18.747	 1549.300
155	 940	A	  3	H	 5	  47.00	      18.770	 1543.600
155	 940	A	  3	H	 5	  52.10	      18.821	 1534.000
155	 940	A	  3	H	 5	  54.50	      18.845	 1526.500
155	 940	A	  3	H	 5	  57.00	      18.870	 1520.900
155	 940	A	  3	H	 5	  59.70	      18.897	 1532.100
155	 940	A	  3	H	 5	  62.30	      18.923	 1537.800
155	 940	A	  3	H	 5	  67.00	      18.970	 1545.500
155	 940	A	  3	H	 5	  69.60	      18.996	 1536.000
155	 940	A	  3	H	 5	  72.00	      19.020	 1532.300
155	 940	A	  3	H	 5	  74.60	      19.046	 1526.600
155	 940	A	  3	H	 5	  77.00	      19.070	 1530.400
155	 940	A	  3	H	 5	  82.10	      19.121	 1543.700
155	 940	A	  3	H	 5	  84.50	      19.145	 1543.700
155	 940	A	  3	H	 5	  87.10	      19.171	 1536.100
155	 940	A	  3	H	 5	  89.50	      19.195	 1555.200
155	 940	A	  3	H	 5	  92.10	      19.221	 1547.500
155	 940	A	  3	H	 5	  94.50	      19.245	 1539.900
155	 940	A	  3	H	 5	  97.00	      19.270	 1543.700
155	 940	A	  3	H	 5	  99.50	      19.295	 1547.500
155	 940	A	  3	H	 5	 102.00	      19.320	 1532.300
155	 940	A	  3	H	 5	 104.50	      19.345	 1526.700
155	 940	A	  3	H	 5	 107.20	      19.372	 1534.200
155	 940	A	  3	H	 5	 109.50	      19.395	 1538.000
155	 940	A	  3	H	 5	 112.00	      19.420	 1576.800
155	 940	A	  3	H	 5	 114.50	      19.445	 1536.100
155	 940	A	  3	H	 5	 117.20	      19.472	 1555.200
155	 940	A	  3	H	 5	 119.50	      19.495	 1543.700
155	 940	A	  3	H	 5	 122.10	      19.521	 1553.300
155	 940	A	  3	H	 5	 124.50	      19.545	 1543.700
155	 940	A	  3	H	 5	 127.00	      19.570	 1543.700
155	 940	A	  3	H	 5	 129.50	      19.595	 1543.700
155	 940	A	  3	H	 5	 132.00	      19.620	 1547.500
155	 940	A	  3	H	 5	 134.50	      19.645	 1532.300
155	 940	A	  3	H	 5	 137.20	      19.672	 1534.200
155	 940	A	  3	H	 5	 139.60	      19.696	 1459.400
155	 940	A	  3	H	 5	 142.10	      19.721	 1422.000
155	 940	A	  3	H	 6	   5.00	      19.850	 1937.500
155	 940	A	  3	H	 6	   7.00	      19.870	 1499.000
155	 940	A	  3	H	 6	  12.00	      19.920	 1973.000
155	 940	A	  3	H	 6	  17.00	      19.970	 1975.600
155	 940	A	  3	H	 6	  22.00	      20.020	 1490.200
155	 940	A	  3	H	 6	  27.00	      20.070	 1497.500
155	 940	A	  3	H	 6	  32.10	      20.121	 1512.500
155	 940	A	  3	H	 6	  37.00	      20.170	 1495.800
155	 940	A	  3	H	 6	  42.20	      20.222	 1493.900
155	 940	A	  3	H	 6	  47.00	      20.270	 1495.800
155	 940	A	  3	H	 6	  52.10	      20.321	 1499.400
155	 940	A	  3	H	 6	  57.00	      20.370	 1505.000
155	 940	A	  3	H	 6	  62.00	      20.420	 1497.600
155	 940	A	  3	H	 6	  67.00	      20.470	 1493.900
155	 940	A	  3	H	 6	  72.00	      20.520	 1514.400
155	 940	A	  3	H	 6	  77.10	      20.571	 1490.200
155	 940	A	  3	H	 6	  82.00	      20.620	 1543.300
155	 940	A	  3	H	 6	  87.10	      20.671	 1492.100
155	 940	A	  3	H	 6	  89.50	      20.695	 1501.300
155	 940	A	  3	H	 6	  92.10	      20.721	 1499.400
155	 940	A	  3	H	 6	  94.50	      20.745	 1501.300
155	 940	A	  3	H	 6	  97.00	      20.770	 1512.500
155	 940	A	  3	H	 6	  99.70	      20.797	 1506.900
155	 940	A	  3	H	 6	 102.00	      20.820	 1514.400
155	 940	A	  3	H	 6	 104.50	      20.845	 1497.600
155	 940	A	  3	H	 6	 107.10	      20.871	 1488.400
155	 940	A	  3	H	 6	 109.70	      20.897	 1512.500
155	 940	A	  3	H	 6	 112.00	      20.920	 1533.500
155	 940	A	  3	H	 6	 114.50	      20.945	 1906.700
155	 940	A	  3	H	 6	 117.00	      20.970	 1428.900
155	 940	A	  3	H	 6	 119.50	      20.995	 1412.300
155	 940	A	  3	H	 6	 122.10	      21.021	 1495.800
155	 940	A	  3	H	 6	 124.50	      21.045	 1447.600
155	 940	A	  3	H	 6	 127.00	      21.070	 1506.900
155	 940	A	  3	H	 6	 129.50	      21.095	 1523.900
155	 940	A	  3	H	 6	 132.00	      21.120	 1495.800
155	 940	A	  3	H	 6	 134.50	      21.145	 1778.300
155	 940	A	  3	H	 6	 137.00	      21.170	 1514.400
155	 940	A	  3	H	 6	 139.50	      21.195	 1722.800
155	 940	A	  3	H	 6	 142.00	      21.220	 1508.800
155	 940	A	  3	H	 6	 144.60	      21.246	 1917.400
155	 940	A	  3	H	 6	 147.00	      21.270	 1362.200
155	 940	A	  4	H	 1	   5.00	      21.850	 1995.900
155	 940	A	  4	H	 1	   7.00	      21.870	 2000.200
155	 940	A	  4	H	 1	  12.00	      21.920	 2011.100
155	 940	A	  4	H	 1	  17.00	      21.970	 2011.100
155	 940	A	  4	H	 1	  22.00	      22.020	 1985.200
155	 940	A	  4	H	 1	  27.10	      22.071	 1449.300
155	 940	A	  4	H	 1	  32.00	      22.120	 1518.800
155	 940	A	  4	H	 1	  37.00	      22.170	 1539.700
155	 940	A	  4	H	 1	  42.20	      22.222	 1533.900
155	 940	A	  4	H	 1	  47.20	      22.272	 1533.900
155	 940	A	  4	H	 1	  52.10	      22.321	 1545.400
155	 940	A	  4	H	 1	  57.10	      22.371	 1549.300
155	 940	A	  4	H	 1	  62.00	      22.420	 1496.800
155	 940	A	  4	H	 1	  67.00	      22.470	 1537.800
155	 940	A	  4	H	 1	  72.00	      22.520	 1528.300
155	 940	A	  4	H	 1	  77.10	      22.571	 1533.900
155	 940	A	  4	H	 1	  82.00	      22.620	 1528.200
155	 940	A	  4	H	 1	  87.10	      22.671	 1528.200
155	 940	A	  4	H	 1	  89.50	      22.695	 1533.900
155	 940	A	  4	H	 1	  92.10	      22.721	 1553.200
155	 940	A	  4	H	 1	  94.50	      22.745	 1539.700
155	 940	A	  4	H	 1	  97.00	      22.770	 1537.700
155	 940	A	  4	H	 1	  99.50	      22.795	 1537.700
155	 940	A	  4	H	 1	 102.00	      22.820	 1535.800
155	 940	A	  4	H	 1	 104.50	      22.845	 1541.600
155	 940	A	  4	H	 1	 107.00	      22.870	 1533.900
155	 940	A	  4	H	 1	 109.70	      22.897	 1539.700
155	 940	A	  4	H	 1	 112.00	      22.920	 1526.300
155	 940	A	  4	H	 1	 114.50	      22.945	 1520.700
155	 940	A	  4	H	 1	 117.00	      22.970	 1524.400
155	 940	A	  4	H	 1	 119.50	      22.995	 1528.200
155	 940	A	  4	H	 1	 122.10	      23.021	 1522.600
155	 940	A	  4	H	 1	 124.50	      23.045	 1524.400
155	 940	A	  4	H	 1	 127.20	      23.072	 1524.400
155	 940	A	  4	H	 1	 129.50	      23.095	 1522.600
155	 940	A	  4	H	 1	 132.00	      23.120	 1524.400
155	 940	A	  4	H	 1	 134.60	      23.146	 1524.400
155	 940	A	  4	H	 1	 137.10	      23.171	 1522.600
155	 940	A	  4	H	 1	 139.50	      23.195	 1528.200
155	 940	A	  4	H	 1	 142.00	      23.220	 1549.300
155	 940	A	  4	H	 1	 144.60	      23.246	 1390.100
155	 940	A	  4	H	 1	 147.00	      23.270	 1466.300
155	 940	A	  4	H	 2	   5.00	      23.350	 1977.400
155	 940	A	  4	H	 2	   7.00	      23.370	 1969.700
155	 940	A	  4	H	 2	  12.00	      23.420	 1513.000
155	 940	A	  4	H	 2	  17.10	      23.471	 1513.000
155	 940	A	  4	H	 2	  22.00	      23.520	 1516.700
155	 940	A	  4	H	 2	  27.10	      23.571	 1500.000
155	 940	A	  4	H	 2	  32.10	      23.621	 1524.200
155	 940	A	  4	H	 2	  37.00	      23.670	 1531.900
155	 940	A	  4	H	 2	  42.20	      23.722	 1518.600
155	 940	A	  4	H	 2	  47.00	      23.770	 1518.600
155	 940	A	  4	H	 2	  52.10	      23.821	 1514.900
155	 940	A	  4	H	 2	  57.00	      23.870	 1520.600
155	 940	A	  4	H	 2	  62.00	      23.920	 1524.400
155	 940	A	  4	H	 2	  67.00	      23.970	 1528.200
155	 940	A	  4	H	 2	  72.00	      24.020	 1530.100
155	 940	A	  4	H	 2	  77.10	      24.071	 1528.200
155	 940	A	  4	H	 2	  82.00	      24.120	 1535.900
155	 940	A	  4	H	 2	  87.10	      24.171	 1532.000
155	 940	A	  4	H	 2	  89.50	      24.195	 1528.300
155	 940	A	  4	H	 2	  92.10	      24.221	 1535.900
155	 940	A	  4	H	 2	  94.50	      24.245	 1532.000
155	 940	A	  4	H	 2	  97.00	      24.270	 1543.500
155	 940	A	  4	H	 2	  99.50	      24.295	 1535.900
155	 940	A	  4	H	 2	 102.20	      24.322	 1771.300
155	 940	A	  4	H	 2	 104.50	      24.345	 1541.600
155	 940	A	  4	H	 2	 107.00	      24.370	 1547.400
155	 940	A	  4	H	 2	 109.50	      24.395	 1545.500
155	 940	A	  4	H	 2	 112.10	      24.421	 1539.700
155	 940	A	  4	H	 2	 114.50	      24.445	 1537.800
155	 940	A	  4	H	 2	 117.20	      24.472	 1537.800
155	 940	A	  4	H	 2	 119.50	      24.495	 1535.900
155	 940	A	  4	H	 2	 122.10	      24.521	 1541.600
155	 940	A	  4	H	 2	 124.60	      24.546	 1533.900
155	 940	A	  4	H	 2	 127.10	      24.571	 1535.900
155	 940	A	  4	H	 2	 129.70	      24.597	 1537.700
155	 940	A	  4	H	 2	 132.00	      24.620	 1539.700
155	 940	A	  4	H	 2	 134.50	      24.645	 1532.000
155	 940	A	  4	H	 2	 137.00	      24.670	 1537.800
155	 940	A	  4	H	 2	 139.50	      24.695	 1555.200
155	 940	A	  4	H	 2	 142.00	      24.720	 1541.600
155	 940	A	  4	H	 2	 144.60	      24.746	 1543.500
155	 940	A	  4	H	 2	 147.00	      24.770	 1433.200
155	 940	A	  4	H	 3	   5.00	      24.850	 2013.600
155	 940	A	  4	H	 3	   7.20	      24.872	 2018.700
155	 940	A	  4	H	 3	  12.00	      24.920	 2028.800
155	 940	A	  4	H	 3	  17.10	      24.971	 1553.300
155	 940	A	  4	H	 3	  22.20	      25.022	 1555.200
155	 940	A	  4	H	 3	  27.00	      25.070	 1561.000
155	 940	A	  4	H	 3	  32.10	      25.121	 1488.400
155	 940	A	  4	H	 3	  37.00	      25.170	 1483.200
155	 940	A	  4	H	 3	  42.10	      25.221	 1483.200
155	 940	A	  4	H	 3	  47.00	      25.270	 2033.900
155	 940	A	  4	H	 3	  52.10	      25.321	   89.700
155	 940	A	  4	H	 3	  57.10	      25.371	 2033.900
155	 940	A	  4	H	 3	  62.20	      25.422	 2031.400
155	 940	A	  4	H	 3	  67.00	      25.470	 2024.800
155	 940	A	  4	H	 3	  72.10	      25.521	 1406.200
155	 940	A	  4	H	 3	  77.10	      25.571	 2028.100
155	 940	A	  4	H	 3	  82.00	      25.620	 2028.800
155	 940	A	  4	H	 3	  87.00	      25.670	 2031.400
155	 940	A	  4	H	 3	  92.10	      25.721	 2011.700
155	 940	A	  4	H	 3	  94.50	      25.745	 1839.600
155	 940	A	  4	H	 3	  97.10	      25.771	 1390.500
155	 940	A	  4	H	 3	  99.50	      25.795	 1517.400
155	 940	A	  4	H	 3	 102.00	      25.820	 1438.600
155	 940	A	  4	H	 3	 104.50	      25.845	 1964.200
155	 940	A	  4	H	 3	 107.00	      25.870	 1387.400
155	 940	A	  4	H	 3	 109.50	      25.895	 1802.400
155	 940	A	  4	H	 3	 112.00	      25.920	 1283.200
155	 940	A	  4	H	 3	 114.50	      25.945	 2031.400
155	 940	A	  4	H	 3	 117.20	      25.972	 1510.000
155	 940	A	  4	H	 3	 119.50	      25.995	 2015.000
155	 940	A	  4	H	 3	 122.20	      26.022	 1432.000
155	 940	A	  4	H	 3	 124.50	      26.045	 1428.700
155	 940	A	  4	H	 3	 127.00	      26.070	 1168.900
155	 940	A	  4	H	 3	 129.50	      26.095	 2021.500
155	 940	A	  4	H	 3	 132.00	      26.120	 1254.800
155	 940	A	  4	H	 3	 134.50	      26.145	 1334.000
155	 940	A	  4	H	 3	 137.00	      26.170	 2014.200
155	 940	A	  4	H	 3	 139.50	      26.195	 1183.700
155	 940	A	  4	H	 3	 142.00	      26.220	 1779.000
155	 940	A	  4	H	 3	 144.60	      26.246	 1107.800
155	 940	A	  4	H	 3	 147.00	      26.270	 1985.000
155	 940	A	  4	H	 3	 149.50	      26.295	 1980.900
155	 940	A	  4	H	 4	   5.00	      26.350	 1937.500
155	 940	A	  4	H	 4	   7.10	      26.371	 1975.600
155	 940	A	  4	H	 4	  12.00	      26.420	 1987.500
155	 940	A	  4	H	 4	  17.00	      26.470	 1995.100
155	 940	A	  4	H	 4	  22.20	      26.522	 1998.400
155	 940	A	  4	H	 4	  27.00	      26.570	 1998.400
155	 940	A	  4	H	 4	  32.10	      26.621	 1995.900
155	 940	A	  4	H	 4	  37.00	      26.670	 1982.900
155	 940	A	  4	H	 4	  42.00	      26.720	 1976.500
155	 940	A	  4	H	 4	  47.00	      26.770	 1421.600
155	 940	A	  4	H	 4	  52.00	      26.820	 1250.500
155	 940	A	  4	H	 4	  57.00	      26.870	 1306.500
155	 940	A	  4	H	 4	  62.00	      26.920	 1334.900
155	 940	A	  4	H	 4	  67.10	      26.971	 1995.900
155	 940	A	  4	H	 4	  72.10	      27.021	 1995.900
155	 940	A	  4	H	 4	  77.10	      27.071	 1990.100
155	 940	A	  4	H	 4	  82.10	      27.121	 1707.000
155	 940	A	  4	H	 4	  87.00	      27.170	 1692.800
155	 940	A	  4	H	 4	  92.00	      27.220	 1708.900
155	 940	A	  4	H	 4	  94.50	      27.245	 1711.700
155	 940	A	  4	H	 4	  97.10	      27.271	 1711.700
155	 940	A	  4	H	 4	  99.50	      27.295	 1706.100
