Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Vel.(m/s)
155	 940	A	  2	H	 1	  22.00	       3.020	 1461.400
155	 940	A	  2	H	 1	  24.60	       3.046	 1463.100
155	 940	A	  2	H	 1	  27.00	       3.070	 1463.100
155	 940	A	  2	H	 1	  29.50	       3.095	 1461.400
155	 940	A	  2	H	 1	  32.00	       3.120	 1463.100
155	 940	A	  2	H	 1	  37.00	       3.170	 1466.800
155	 940	A	  2	H	 1	  39.60	       3.196	 1468.500
155	 940	A	  2	H	 1	  42.20	       3.222	 1468.500
155	 940	A	  2	H	 1	  44.50	       3.245	 1468.500
155	 940	A	  2	H	 1	  47.20	       3.272	 1466.700
155	 940	A	  2	H	 1	  52.10	       3.321	 1464.900
155	 940	A	  2	H	 1	  54.50	       3.345	 1463.000
155	 940	A	  2	H	 1	  57.10	       3.371	 1464.800
155	 940	A	  2	H	 1	  59.50	       3.395	 1461.200
155	 940	A	  2	H	 1	  62.00	       3.420	 1461.200
155	 940	A	  2	H	 1	  67.00	       3.470	 1461.200
155	 940	A	  2	H	 1	  69.60	       3.496	 1461.200
155	 940	A	  2	H	 1	  72.00	       3.520	 1461.200
155	 940	A	  2	H	 1	  74.60	       3.546	 1459.400
155	 940	A	  2	H	 1	  77.00	       3.570	 1457.700
155	 940	A	  2	H	 1	  82.00	       3.620	 1459.400
155	 940	A	  2	H	 1	  84.50	       3.645	 1457.700
155	 940	A	  2	H	 1	  87.10	       3.671	 1457.700
155	 940	A	  2	H	 1	  89.70	       3.697	 1455.900
155	 940	A	  2	H	 1	  92.00	       3.720	 1455.900
155	 940	A	  2	H	 1	  94.70	       3.747	 1457.700
155	 940	A	  2	H	 1	  97.00	       3.770	 1455.900
155	 940	A	  2	H	 1	  99.50	       3.795	 1455.900
155	 940	A	  2	H	 1	 102.10	       3.821	 1455.900
155	 940	A	  2	H	 1	 104.50	       3.845	 1452.300
155	 940	A	  2	H	 1	 107.20	       3.872	 1454.100
155	 940	A	  2	H	 1	 109.50	       3.895	 1454.100
155	 940	A	  2	H	 1	 112.10	       3.921	 1453.900
155	 940	A	  2	H	 1	 114.50	       3.945	 1453.900
155	 940	A	  2	H	 1	 117.00	       3.970	 1453.900
155	 940	A	  2	H	 1	 119.50	       3.995	 1452.200
155	 940	A	  2	H	 1	 122.10	       4.021	 1448.600
155	 940	A	  2	H	 1	 124.50	       4.045	 1448.600
155	 940	A	  2	H	 1	 127.00	       4.070	 1450.400
155	 940	A	  2	H	 1	 129.50	       4.095	 1450.400
155	 940	A	  2	H	 1	 132.00	       4.120	 1450.400
155	 940	A	  2	H	 1	 134.50	       4.145	 1448.600
155	 940	A	  2	H	 1	 137.10	       4.171	 1450.400
155	 940	A	  2	H	 1	 139.60	       4.196	 1450.400
155	 940	A	  2	H	 1	 142.00	       4.220	 1452.100
155	 940	A	  2	H	 1	 144.50	       4.245	 1402.400
155	 940	A	  2	H	 1	 147.00	       4.270	 1770.500
155	 940	A	  2	H	 2	   5.00	       4.350	 1980.400
155	 940	A	  2	H	 2	   7.00	       4.370	 1899.100
155	 940	A	  2	H	 2	   9.60	       4.396	 1461.800
155	 940	A	  2	H	 2	  12.00	       4.420	 1472.600
155	 940	A	  2	H	 2	  14.50	       4.445	 1472.600
155	 940	A	  2	H	 2	  17.30	       4.473	 1472.600
155	 940	A	  2	H	 2	  22.00	       4.520	 1470.800
155	 940	A	  2	H	 2	  24.50	       4.545	 1469.100
155	 940	A	  2	H	 2	  27.00	       4.570	 1470.800
155	 940	A	  2	H	 2	  29.50	       4.595	 1472.600
155	 940	A	  2	H	 2	  32.00	       4.620	 1472.600
155	 940	A	  2	H	 2	  37.20	       4.672	 1474.300
155	 940	A	  2	H	 2	  39.50	       4.695	 1474.300
155	 940	A	  2	H	 2	  42.10	       4.721	 1472.600
155	 940	A	  2	H	 2	  44.50	       4.745	 1472.600
155	 940	A	  2	H	 2	  47.00	       4.770	 1468.900
155	 940	A	  2	H	 2	  52.10	       4.821	 1466.900
155	 940	A	  2	H	 2	  54.50	       4.845	 1466.800
155	 940	A	  2	H	 2	  57.00	       4.870	 1463.100
155	 940	A	  2	H	 2	  59.60	       4.896	 1461.200
155	 940	A	  2	H	 2	  62.00	       4.920	 1461.200
155	 940	A	  2	H	 2	  67.10	       4.971	 1464.700
155	 940	A	  2	H	 2	  69.50	       4.995	 1462.900
155	 940	A	  2	H	 2	  72.20	       5.022	 1462.900
155	 940	A	  2	H	 2	  74.50	       5.045	 1466.400
155	 940	A	  2	H	 2	  77.00	       5.070	 1461.200
155	 940	A	  2	H	 2	  82.00	       5.120	 1459.400
155	 940	A	  2	H	 2	  84.50	       5.145	 1462.900
155	 940	A	  2	H	 2	  87.00	       5.170	 1461.200
155	 940	A	  2	H	 2	  89.60	       5.196	 1457.700
155	 940	A	  2	H	 2	  92.00	       5.220	 1457.700
155	 940	A	  2	H	 2	  94.50	       5.245	 1457.700
155	 940	A	  2	H	 2	  97.00	       5.270	 1457.700
155	 940	A	  2	H	 2	  99.50	       5.295	 1457.700
155	 940	A	  2	H	 2	 102.10	       5.321	 1459.400
155	 940	A	  2	H	 2	 104.50	       5.345	 1453.900
155	 940	A	  2	H	 2	 107.00	       5.370	 1453.900
155	 940	A	  2	H	 2	 109.50	       5.395	 1452.200
155	 940	A	  2	H	 2	 112.00	       5.420	 1452.200
155	 940	A	  2	H	 2	 114.70	       5.447	 1452.200
155	 940	A	  2	H	 2	 117.00	       5.470	 1455.700
155	 940	A	  2	H	 2	 119.60	       5.496	 1455.700
155	 940	A	  2	H	 2	 122.10	       5.521	 1452.100
155	 940	A	  2	H	 2	 124.60	       5.546	 1452.100
155	 940	A	  2	H	 2	 127.20	       5.572	 1455.600
155	 940	A	  2	H	 2	 129.50	       5.595	 1453.800
155	 940	A	  2	H	 2	 132.00	       5.620	 1453.800
155	 940	A	  2	H	 2	 134.50	       5.645	 1455.600
155	 940	A	  2	H	 2	 137.10	       5.671	 1453.800
155	 940	A	  2	H	 2	 139.50	       5.695	 1453.800
155	 940	A	  2	H	 2	 142.10	       5.721	 1453.800
155	 940	A	  2	H	 2	 144.60	       5.746	 1407.100
155	 940	A	  2	H	 2	 147.20	       5.772	 1335.400
155	 940	A	  2	H	 2	 149.50	       5.795	 1391.900
155	 940	A	  2	H	 3	   5.00	       5.850	 1955.100
155	 940	A	  2	H	 3	   7.00	       5.870	 1441.000
155	 940	A	  2	H	 3	   9.50	       5.895	 1960.100
155	 940	A	  2	H	 3	  12.00	       5.920	 1978.600
155	 940	A	  2	H	 3	  14.50	       5.945	 1443.600
155	 940	A	  2	H	 3	  17.00	       5.970	 1745.800
155	 940	A	  2	H	 3	  22.10	       6.021	 1978.600
155	 940	A	  2	H	 3	  24.50	       6.045	 1718.700
155	 940	A	  2	H	 3	  27.00	       6.070	 1843.700
155	 940	A	  2	H	 3	  29.60	       6.096	 1975.300
155	 940	A	  2	H	 3	  32.00	       6.120	 1450.600
155	 940	A	  2	H	 3	  37.20	       6.172	 1554.100
155	 940	A	  2	H	 3	  39.50	       6.195	 1455.900
155	 940	A	  2	H	 3	  42.20	       6.222	 1459.500
155	 940	A	  2	H	 3	  44.70	       6.247	 1987.300
155	 940	A	  2	H	 3	  47.00	       6.270	 1472.400
155	 940	A	  2	H	 3	  52.10	       6.321	 1479.800
155	 940	A	  2	H	 3	  54.50	       6.345	 1478.100
155	 940	A	  2	H	 3	  57.00	       6.370	 1479.800
155	 940	A	  2	H	 3	  59.60	       6.396	 1478.100
155	 940	A	  2	H	 3	  62.00	       6.420	 1485.400
155	 940	A	  2	H	 3	  67.20	       6.472	 1487.100
155	 940	A	  2	H	 3	  69.60	       6.496	 1487.200
155	 940	A	  2	H	 3	  72.00	       6.520	 1487.200
155	 940	A	  2	H	 3	  74.50	       6.545	 1489.000
155	 940	A	  2	H	 3	  77.00	       6.570	 1490.800
155	 940	A	  2	H	 3	  82.20	       6.622	 1494.400
155	 940	A	  2	H	 3	  84.60	       6.646	 1494.400
155	 940	A	  2	H	 3	  87.10	       6.671	 1492.600
155	 940	A	  2	H	 3	  89.60	       6.696	 1494.400
155	 940	A	  2	H	 3	  92.10	       6.721	 1489.000
155	 940	A	  2	H	 3	  94.70	       6.747	 1490.800
155	 940	A	  2	H	 3	  97.20	       6.772	 1490.800
155	 940	A	  2	H	 3	  99.50	       6.795	 1490.800
155	 940	A	  2	H	 3	 102.10	       6.821	 1492.600
155	 940	A	  2	H	 3	 104.50	       6.845	 1492.600
155	 940	A	  2	H	 3	 107.00	       6.870	 1492.600
155	 940	A	  2	H	 3	 109.50	       6.895	 1492.600
155	 940	A	  2	H	 3	 112.00	       6.920	 1496.200
155	 940	A	  2	H	 3	 114.50	       6.945	 1492.600
155	 940	A	  2	H	 3	 117.10	       6.971	 1498.000
155	 940	A	  2	H	 3	 119.50	       6.995	 1498.000
155	 940	A	  2	H	 3	 122.10	       7.021	 1499.900
155	 940	A	  2	H	 3	 124.50	       7.045	 1498.100
155	 940	A	  2	H	 3	 127.10	       7.071	 1499.900
155	 940	A	  2	H	 3	 129.50	       7.095	 1498.000
155	 940	A	  2	H	 3	 132.10	       7.121	 1496.200
155	 940	A	  2	H	 3	 134.50	       7.145	 1492.500
155	 940	A	  2	H	 3	 137.10	       7.171	 1488.800
155	 940	A	  2	H	 3	 139.50	       7.195	 1486.900
155	 940	A	  2	H	 3	 142.00	       7.220	 1481.400
155	 940	A	  2	H	 3	 144.50	       7.245	 1401.700
155	 940	A	  2	H	 3	 147.10	       7.271	 1076.400
155	 940	A	  2	H	 3	 149.50	       7.295	 1443.500
155	 940	A	  2	H	 4	   5.00	       7.350	 1970.900
155	 940	A	  2	H	 4	   7.00	       7.370	 1982.900
155	 940	A	  2	H	 4	   9.50	       7.395	 1991.200
155	 940	A	  2	H	 4	  12.00	       7.420	 1996.300
155	 940	A	  2	H	 4	  14.50	       7.445	 1481.400
155	 940	A	  2	H	 4	  17.30	       7.473	 1479.600
155	 940	A	  2	H	 4	  22.20	       7.522	 1479.600
155	 940	A	  2	H	 4	  24.50	       7.545	 1476.100
155	 940	A	  2	H	 4	  27.20	       7.572	 1472.500
155	 940	A	  2	H	 4	  29.50	       7.595	 1472.500
155	 940	A	  2	H	 4	  32.00	       7.620	 1472.500
155	 940	A	  2	H	 4	  37.10	       7.671	 1474.200
155	 940	A	  2	H	 4	  39.50	       7.695	 1476.000
155	 940	A	  2	H	 4	  42.20	       7.722	 1474.200
155	 940	A	  2	H	 4	  44.60	       7.746	 1470.600
155	 940	A	  2	H	 4	  47.00	       7.770	 1470.500
155	 940	A	  2	H	 4	  52.10	       7.821	 1468.900
155	 940	A	  2	H	 4	  54.50	       7.845	 1472.400
155	 940	A	  2	H	 4	  57.10	       7.871	 1472.400
155	 940	A	  2	H	 4	  59.50	       7.895	 1475.900
155	 940	A	  2	H	 4	  62.30	       7.923	 1475.900
155	 940	A	  2	H	 4	  67.20	       7.972	 1477.700
155	 940	A	  2	H	 4	  69.50	       7.995	 1474.100
155	 940	A	  2	H	 4	  72.00	       8.020	 1477.700
155	 940	A	  2	H	 4	  74.50	       8.045	 1477.700
155	 940	A	  2	H	 4	  77.00	       8.070	 1479.600
155	 940	A	  2	H	 4	  82.00	       8.120	 1490.700
155	 940	A	  2	H	 4	  84.60	       8.146	 1490.700
155	 940	A	  2	H	 4	  87.00	       8.170	 1485.400
155	 940	A	  2	H	 4	  89.60	       8.196	 1490.700
155	 940	A	  2	H	 4	  92.10	       8.221	 1488.900
155	 940	A	  2	H	 4	  94.60	       8.246	 1487.100
155	 940	A	  2	H	 4	  97.00	       8.270	 1488.900
155	 940	A	  2	H	 4	  99.50	       8.295	 1488.900
155	 940	A	  2	H	 4	 102.10	       8.321	 1485.400
155	 940	A	  2	H	 4	 104.50	       8.345	 1485.400
155	 940	A	  2	H	 4	 107.00	       8.370	 1488.900
155	 940	A	  2	H	 4	 109.50	       8.395	 1488.900
155	 940	A	  2	H	 4	 112.00	       8.420	 1498.000
155	 940	A	  2	H	 4	 114.50	       8.445	 1494.400
155	 940	A	  2	H	 4	 117.20	       8.472	 1494.400
155	 940	A	  2	H	 4	 119.60	       8.496	 1490.800
155	 940	A	  2	H	 4	 122.10	       8.521	 1498.000
155	 940	A	  2	H	 4	 124.50	       8.545	 1499.800
155	 940	A	  2	H	 4	 127.10	       8.571	 1494.400
155	 940	A	  2	H	 4	 129.50	       8.595	 1496.200
155	 940	A	  2	H	 4	 132.00	       8.620	 1498.000
155	 940	A	  2	H	 4	 134.60	       8.646	 1499.800
155	 940	A	  2	H	 4	 137.00	       8.670	 1496.200
155	 940	A	  2	H	 4	 139.60	       8.696	 1492.600
155	 940	A	  2	H	 4	 142.00	       8.720	 1485.200
155	 940	A	  2	H	 4	 144.50	       8.745	 1414.000
155	 940	A	  2	H	 4	 147.10	       8.771	 1711.800
155	 940	A	  2	H	 4	 149.60	       8.796	 1940.600
155	 940	A	  2	H	 5	   5.10	       8.851	 1525.900
155	 940	A	  2	H	 5	   7.00	       8.870	 1529.700
155	 940	A	  2	H	 5	   9.60	       8.896	 1537.200
155	 940	A	  2	H	 5	  12.00	       8.920	 1535.300
155	 940	A	  2	H	 5	  14.50	       8.945	 1533.500
155	 940	A	  2	H	 5	  17.20	       8.972	 1531.600
155	 940	A	  2	H	 5	  22.00	       9.020	 1531.600
155	 940	A	  2	H	 5	  24.50	       9.045	 1529.800
155	 940	A	  2	H	 5	  27.00	       9.070	 1531.600
155	 940	A	  2	H	 5	  29.50	       9.095	 1529.800
155	 940	A	  2	H	 5	  32.00	       9.120	 1539.100
155	 940	A	  2	H	 5	  37.00	       9.170	 1531.600
155	 940	A	  2	H	 5	  39.50	       9.195	 1529.800
155	 940	A	  2	H	 5	  42.20	       9.222	 1529.800
155	 940	A	  2	H	 5	  44.60	       9.246	 1527.900
155	 940	A	  2	H	 5	  47.00	       9.270	 1531.600
155	 940	A	  2	H	 5	  52.10	       9.321	 1529.800
155	 940	A	  2	H	 5	  54.50	       9.345	 1531.600
155	 940	A	  2	H	 5	  57.00	       9.370	 1527.900
155	 940	A	  2	H	 5	  59.50	       9.395	 1529.800
155	 940	A	  2	H	 5	  62.00	       9.420	 1527.900
155	 940	A	  2	H	 5	  67.20	       9.472	 1527.900
155	 940	A	  2	H	 5	  69.60	       9.496	 1539.100
155	 940	A	  2	H	 5	  72.00	       9.520	 1531.600
155	 940	A	  2	H	 5	  74.60	       9.546	 1529.800
155	 940	A	  2	H	 5	  77.00	       9.570	 1524.200
155	 940	A	  2	H	 5	  82.00	       9.620	 1535.300
155	 940	A	  2	H	 5	  84.50	       9.645	 1539.100
155	 940	A	  2	H	 5	  87.00	       9.670	 1540.900
155	 940	A	  2	H	 5	  89.50	       9.695	 1535.400
155	 940	A	  2	H	 5	  92.10	       9.721	 1533.500
155	 940	A	  2	H	 5	  94.60	       9.746	 1535.400
155	 940	A	  2	H	 5	  97.00	       9.770	 1535.400
155	 940	A	  2	H	 5	  99.50	       9.795	 1542.800
155	 940	A	  2	H	 5	 102.10	       9.821	 1535.400
155	 940	A	  2	H	 5	 104.50	       9.845	 1539.100
155	 940	A	  2	H	 5	 107.00	       9.870	 1542.800
155	 940	A	  2	H	 5	 109.70	       9.897	 1542.800
155	 940	A	  2	H	 5	 112.00	       9.920	 1539.100
155	 940	A	  2	H	 5	 114.50	       9.945	 1541.000
155	 940	A	  2	H	 5	 117.00	       9.970	 1535.400
155	 940	A	  2	H	 5	 119.50	       9.995	 1544.700
155	 940	A	  2	H	 5	 122.10	      10.021	 1539.100
155	 940	A	  2	H	 5	 124.50	      10.045	 1544.700
155	 940	A	  2	H	 5	 127.10	      10.071	 1541.000
155	 940	A	  2	H	 5	 129.50	      10.095	 1539.100
155	 940	A	  2	H	 5	 132.00	      10.120	 1542.800
155	 940	A	  2	H	 5	 134.50	      10.145	 1550.400
155	 940	A	  2	H	 5	 137.00	      10.170	 1537.200
155	 940	A	  2	H	 5	 139.60	      10.196	 1470.900
155	 940	A	  2	H	 5	 142.10	      10.221	 1462.200
155	 940	A	  2	H	 6	   5.00	      10.350	 1967.500
155	 940	A	  2	H	 6	   7.00	      10.370	 1966.800
155	 940	A	  2	H	 6	   9.50	      10.395	 1975.100
155	 940	A	  2	H	 6	  12.00	      10.420	 1458.900
155	 940	A	  2	H	 6	  14.50	      10.445	 1465.900
155	 940	A	  2	H	 6	  17.00	      10.470	 1467.800
155	 940	A	  2	H	 6	  22.00	      10.520	 1473.200
155	 940	A	  2	H	 6	  24.50	      10.545	 1475.000
155	 940	A	  2	H	 6	  27.20	      10.572	 1482.300
155	 940	A	  2	H	 6	  29.70	      10.597	 1478.700
155	 940	A	  2	H	 6	  32.00	      10.620	 1482.400
155	 940	A	  2	H	 6	  37.00	      10.670	 1480.700
155	 940	A	  2	H	 6	  39.50	      10.695	 1495.200
155	 940	A	  2	H	 6	  42.10	      10.721	 1480.700
155	 940	A	  2	H	 6	  44.50	      10.745	 1482.600
155	 940	A	  2	H	 6	  47.00	      10.770	 1486.300
155	 940	A	  2	H	 6	  52.10	      10.821	 1490.000
155	 940	A	  2	H	 6	  54.50	      10.845	 1488.200
155	 940	A	  2	H	 6	  57.10	      10.871	 1493.700
155	 940	A	  2	H	 6	  59.50	      10.895	 1497.300
155	 940	A	  2	H	 6	  62.00	      10.920	 1491.900
