Leg	Site	H	Cor	T	Sc	Top(cm)	Bot(cm)	Depth (mbsf)	Shear_Strength	Max_Torque_Angle	Residual_Strength	Resi_Torque_Angle	Run_Num	Run_Date_Time	XYZ	Rotation_Rate	              Vane_ID	            Spring_ID	Raw_Data
155	 940	A	  8	H	 3	  92.00	  92.00	      63.720	        33.400	           45.70	           16.971	            23.20	   2074	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	  8	H	 4	  50.00	  50.00	      64.800	        37.000	           50.60	           18.142	            24.80	   2075	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	  9	X	 1	 120.00	 120.00	      70.500	        20.500	           28.10	           11.412	            15.60	   2076	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	  9	X	 2	  94.00	  94.00	      71.740	        26.700	           36.60	           13.679	            18.70	   2077	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	  9	X	 3	  94.00	  94.00	      73.240	        31.800	           43.60	           16.313	            22.30	   2078	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	  9	X	 4	  94.00	  94.00	      74.740	        34.400	           47.10	           17.191	            23.50	   2079	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	  9	X	 5	  94.00	  94.00	      76.240	        23.600	           32.30	           12.509	            17.10	   2080	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 10	X	 1	  97.00	  97.00	      77.970	        32.900	           45.00	           16.167	            22.10	   2082	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 10	X	 2	  97.00	  97.00	      79.470	        29.800	           40.80	           15.947	            21.80	   2083	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 10	X	 3	  97.00	  97.00	      80.970	        33.900	           46.40	           16.459	            22.50	   2084	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 10	X	 4	  97.00	  97.00	      82.470	        24.100	           33.00	           13.167	            18.00	   2081	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 10	X	 5	  97.00	  97.00	      83.970	        49.300	           67.50	           21.873	            29.90	   2085	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 11	X	 1	  86.00	  86.00	      85.560	        28.300	           38.70	           14.996	            20.50	   2086	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 11	X	 2	  86.00	  86.00	      87.060	        24.700	           33.80	           13.387	            18.30	   2087	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 11	X	 3	  84.00	  84.00	      88.510	        32.900	           45.00	           16.898	            23.10	   2088	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 11	X	 4	  82.00	  82.00	      89.990	        44.700	           61.20	           20.922	            28.60	   2089	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 11	X	 5	  86.00	  86.00	      91.530	        48.800	           66.80	           22.385	            30.60	   2090	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 11	X	 6	  88.00	  88.00	      93.050	        42.700	           58.40	           20.190	            27.60	   2091	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 12	X	 1	  65.00	  65.00	      94.950	        26.700	           36.60	           14.411	            19.70	   2093	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 12	X	 2	  65.00	  65.00	      96.450	        39.000	           53.40	           18.069	            24.70	   2096	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 12	X	 3	  65.00	  65.00	      97.950	        42.700	           58.40	           22.604	            30.90	   2094	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 12	X	 4	  65.00	  65.00	      99.450	        41.100	           56.20	           19.971	            27.30	   2095	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 12	X	 5	  45.00	  45.00	     100.750	        52.400	           71.70	           22.970	            31.40	   2092	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 12	X	 6	   8.00	   8.00	     101.820	        50.900	           69.60	           21.361	            29.20	   2097	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 13	X	 1	  85.00	  85.00	     104.750	        33.400	           45.70	                 	                 	   2098	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 13	X	 3	 100.00	 100.00	     107.780	        25.700	           35.20	           13.606	            18.60	   2099	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 13	X	 5	  60.00	  60.00	     110.380	        39.000	           53.40	           18.800	            25.70	   2100	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 14	X	 2	  81.00	  81.00	     115.910	        31.800	           43.60	                 	                 	   2101	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 14	X	 3	  83.00	  83.00	     117.430	        40.000	           54.80	           20.190	            27.60	   2102	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 15	X	 1	 104.00	 104.00	     124.340	        44.200	           60.50	           19.971	            27.30	   2103	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 15	X	 2	 105.00	 105.00	     125.850	        52.400	           71.70	           24.433	            33.40	   2104	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 15	X	 3	  35.00	  35.00	     126.650	        35.400	           48.50	           17.264	            23.60	   2105	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 15	X	 4	 125.00	 125.00	     129.050	        35.400	           48.50	           17.703	            24.20	   2106	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 15	X	 5	  50.00	  50.00	     129.800	        66.300	           90.70	           26.701	            36.50	   2107	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 16	X	 1	  93.00	  93.00	     133.930	        37.500	           51.30	           17.996	            24.60	   2108	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 16	X	 2	 105.00	 105.10	     135.550	        35.000	           47.80	           25.700	                 	   5185	             	   	             	                     	                     	                     
155	 940	A	 16	X	 3	 118.00	 118.10	     137.180	        30.300	           41.50	           20.000	                 	   5190	             	   	             	                     	                     	                     
155	 940	A	 16	X	 4	  90.00	  90.10	     138.400	        41.700	           57.00	           27.200	                 	   5195	             	   	             	                     	                     	                     
155	 940	A	 16	X	 5	 110.00	 110.10	     140.100	        26.200	           35.90	           14.600	                 	   5200	             	   	             	                     	                     	                     
155	 940	A	 16	X	 6	 106.00	 106.10	     141.560	        39.100	           53.40	           24.800	                 	   5205	             	   	             	                     	                     	                     
155	 940	A	 16	X	 7	  46.00	  46.10	     142.460	        47.300	           64.70	           29.600	                 	   5210	             	   	             	                     	                     	                     
155	 940	A	 17	X	 1	  73.00	  73.10	     143.330	        36.000	           49.20	           24.200	                 	   5215	             	   	             	                     	                     	                     
155	 940	A	 17	X	 2	  97.00	  97.10	     145.070	        55.500	           75.90	           31.400	                 	   5220	             	   	             	                     	                     	                     
155	 940	A	 17	X	 3	  98.00	  98.10	     146.580	        65.300	           89.30	           34.300	                 	   5225	             	   	             	                     	                     	                     
155	 940	A	 17	X	 4	 101.00	 101.10	     148.110	        39.600	           54.10	           23.900	                 	   5230	             	   	             	                     	                     	                     
155	 940	A	 17	X	 5	  56.00	  56.10	     149.160	        61.700	           84.40	           31.900	                 	   5235	             	   	             	                     	                     	                     
155	 940	A	 18	X	 1	  26.00	  26.10	     152.460	        54.500	           74.50	           27.600	                 	   5240	             	   	             	                     	                     	                     
155	 940	A	 18	X	 2	  76.00	  76.10	     154.460	        51.900	           71.00	           30.000	                 	   5245	             	   	             	                     	                     	                     
155	 940	A	 18	X	 3	 103.00	 103.10	     156.230	        55.500	           75.90	           27.900	                 	   5250	             	   	             	                     	                     	                     
155	 940	A	 18	X	 4	  49.00	  49.10	     157.190	        62.200	           85.10	           37.300	                 	   5255	             	   	             	                     	                     	                     
155	 940	A	 18	X	 5	  66.00	  66.10	     158.860	        49.900	           68.20	           32.800	                 	   5260	             	   	             	                     	                     	                     
155	 940	A	 18	X	 6	  43.00	  43.10	     160.130	        87.400	          119.50	           42.800	                 	   5265	             	   	             	                     	                     	                     
155	 940	A	 19	X	 1	  68.00	  68.10	     162.580	        89.000	          121.60	           46.800	                 	   5270	             	   	             	                     	                     	                     
155	 940	A	 19	X	 2	  67.00	  67.10	     164.070	        44.200	           60.50	           27.300	                 	   5275	             	   	             	                     	                     	                     
155	 940	A	 19	X	 3	  84.00	  84.10	     165.740	        44.700	           61.20	           25.200	                 	   5280	             	   	             	                     	                     	                     
155	 940	A	 19	X	 4	  55.00	  55.10	     166.950	        46.800	           64.00	           26.200	                 	   5285	             	   	             	                     	                     	                     
155	 940	A	 21	X	 1	  83.00	  83.10	     181.930	        47.800	           65.40	           29.500	                 	   5290	             	   	             	                     	                     	                     
155	 940	A	 21	X	 2	  83.00	  83.10	     183.430	        67.400	           92.10	           38.400	                 	   5295	             	   	             	                     	                     	                     
155	 940	A	 21	X	 3	  83.00	  83.10	     184.930	        55.000	           75.20	           34.600	                 	   5300	             	   	             	                     	                     	                     
155	 940	A	 21	X	 4	  83.00	  83.10	     186.430	        63.800	           87.20	           37.200	                 	   5305	             	   	             	                     	                     	                     
155	 940	A	 22	X	 1	  85.00	  85.10	     191.650	        47.300	           64.70	           28.600	                 	   5310	             	   	             	                     	                     	                     
155	 940	A	 22	X	 2	  85.00	  85.10	     193.150	        48.300	           66.10	           29.500	                 	   5315	             	   	             	                     	                     	                     
155	 940	A	 22	X	 3	  68.00	  68.10	     194.480	        79.200	          108.30	           42.900	                 	   5320	             	   	             	                     	                     	                     
155	 940	A	 22	X	 4	 107.00	 107.00	     196.370	        50.400	           68.90	           20.922	            28.60	   2109	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 22	X	 5	 105.00	 105.00	     197.850	        52.900	           72.40	           22.897	            31.30	   2110	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 22	X	 6	  35.00	  35.00	     198.650	        58.100	           79.50	           25.091	            34.30	   2111	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 23	X	 2	  63.00	  63.00	     202.160	        70.400	           96.30	           29.115	            39.80	   2112	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 23	X	 3	  50.00	  50.00	     203.530	        65.300	           89.30	           27.578	            37.70	   2113	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 23	X	 4	  51.00	  51.00	     205.040	        81.200	          111.10	           32.626	            44.60	   2114	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 23	X	 5	  48.00	  48.00	     206.510	        61.200	           83.70	           27.286	            37.30	   2115	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 23	X	 6	  38.00	  38.00	     207.910	        65.800	           90.00	           27.066	            37.00	   2116	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 23	X	 7	  35.00	  35.00	     209.380	        85.300	          116.70	                 	                 	   2117	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 24	X	 1	  72.00	  72.00	     210.720	        36.500	           49.90	           17.410	            23.80	   2120	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	 24	X	 2	  85.00	  85.00	     212.350	        45.200	           61.90	           22.385	            30.60	   2121	    28-JAN-85	  X	           90	                    4	                    3	       N
