Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Density (g/cc)	
155	 940	A	  3	H	 5	  47.7	      18.777	         2.047	
155	 940	A	  3	H	 5	  49.3	      18.793	         2.073	
155	 940	A	  3	H	 5	  51.9	      18.819	         2.069	
155	 940	A	  3	H	 5	  53.3	      18.833	         1.985	
155	 940	A	  3	H	 5	  55.3	      18.853	         1.974	
155	 940	A	  3	H	 5	  58.0	      18.880	         1.977	
155	 940	A	  3	H	 5	  59.2	      18.892	         2.038	
155	 940	A	  3	H	 5	  61.0	      18.910	         1.992	
155	 940	A	  3	H	 5	  63.1	      18.931	         2.046	
155	 940	A	  3	H	 5	  64.0	      18.940	         2.030	
155	 940	A	  3	H	 5	  65.0	      18.950	         2.087	
155	 940	A	  3	H	 5	  67.0	      18.970	         2.038	
155	 940	A	  3	H	 5	  69.1	      18.991	         1.973	
155	 940	A	  3	H	 5	  70.0	      19.000	         1.976	
155	 940	A	  3	H	 5	  70.7	      19.007	         2.023	
155	 940	A	  3	H	 5	  73.0	      19.030	         1.959	
155	 940	A	  3	H	 5	  74.8	      19.048	         1.962	
155	 940	A	  3	H	 5	  76.0	      19.060	         2.008	
155	 940	A	  3	H	 5	  76.7	      19.067	         2.007	
155	 940	A	  3	H	 5	  79.0	      19.090	         2.040	
155	 940	A	  3	H	 5	  80.6	      19.106	         2.014	
155	 940	A	  3	H	 5	  82.3	      19.123	         2.024	
155	 940	A	  3	H	 5	  85.0	      19.150	         1.991	
155	 940	A	  3	H	 5	  86.3	      19.163	         2.005	
155	 940	A	  3	H	 5	  88.1	      19.181	         2.016	
155	 940	A	  3	H	 5	  90.4	      19.204	         1.966	
155	 940	A	  3	H	 5	  91.0	      19.210	         2.035	
155	 940	A	  3	H	 5	  92.1	      19.221	         2.042	
155	 940	A	  3	H	 5	  94.0	      19.240	         1.987	
155	 940	A	  3	H	 5	  96.3	      19.263	         2.025	
155	 940	A	  3	H	 5	  97.0	      19.270	         2.043	
155	 940	A	  3	H	 5	  97.9	      19.279	         2.086	
155	 940	A	  3	H	 5	  99.9	      19.299	         2.032	
155	 940	A	  3	H	 5	 101.8	      19.318	         1.983	
155	 940	A	  3	H	 5	 104.5	      19.345	         1.976	
155	 940	A	  3	H	 5	 106.7	      19.367	         1.991	
155	 940	A	  3	H	 5	 109.1	      19.391	         2.011	
155	 940	A	  3	H	 5	 111.0	      19.410	         2.110	
155	 940	A	  3	H	 5	 113.3	      19.433	         1.974	
155	 940	A	  3	H	 5	 115.8	      19.458	         2.098	
155	 940	A	  3	H	 5	 118.1	      19.481	         2.014	
155	 940	A	  3	H	 5	 120.3	      19.503	         2.051	
155	 940	A	  3	H	 5	 122.7	      19.527	         2.032	
155	 940	A	  3	H	 5	 125.2	      19.552	         2.015	
155	 940	A	  3	H	 5	 127.5	      19.575	         2.004	
155	 940	A	  3	H	 5	 129.7	      19.597	         2.060	
155	 940	A	  3	H	 5	 132.0	      19.620	         1.894	
155	 940	A	  3	H	 5	 134.7	      19.647	         2.008	
155	 940	A	  3	H	 5	 136.9	      19.669	         1.983	
155	 940	A	  3	H	 5	 139.1	      19.691	         2.108	
155	 940	A	  3	H	 6	   4.0	      19.840	         1.910	
155	 940	A	  3	H	 6	   7.0	      19.870	         1.863	
155	 940	A	  3	H	 6	   8.7	      19.887	         1.844	
155	 940	A	  3	H	 6	  10.9	      19.909	         1.893	
155	 940	A	  3	H	 6	  12.0	      19.920	         1.882	
155	 940	A	  3	H	 6	  12.7	      19.927	         1.914	
155	 940	A	  3	H	 6	  15.1	      19.951	         1.782	
155	 940	A	  3	H	 6	  17.0	      19.970	         1.180	
155	 940	A	  3	H	 6	  19.3	      19.993	         1.276	
155	 940	A	  3	H	 6	  22.0	      20.020	         1.294	
155	 940	A	  3	H	 6	  23.1	      20.031	         1.690	
155	 940	A	  3	H	 6	  25.7	      20.057	         1.439	
155	 940	A	  3	H	 6	  27.3	      20.073	         1.326	
155	 940	A	  3	H	 6	  29.5	      20.095	         1.400	
155	 940	A	  3	H	 6	  32.0	      20.120	         1.434	
155	 940	A	  3	H	 6	  33.6	      20.136	         1.348	
155	 940	A	  3	H	 6	  35.9	      20.159	         1.176	
155	 940	A	  3	H	 6	  37.0	      20.170	         1.174	
155	 940	A	  3	H	 6	  37.6	      20.176	         1.592	
155	 940	A	  3	H	 6	  40.1	      20.201	         1.247	
155	 940	A	  3	H	 6	  42.0	      20.220	         1.631	
155	 940	A	  3	H	 6	  44.2	      20.242	         2.043	
155	 940	A	  3	H	 6	  47.0	      20.270	         2.002	
155	 940	A	  3	H	 6	  48.4	      20.284	         2.029	
155	 940	A	  3	H	 6	  50.6	      20.306	         2.091	
155	 940	A	  3	H	 6	  52.0	      20.320	         2.008	
155	 940	A	  3	H	 6	  52.7	      20.327	         2.055	
155	 940	A	  3	H	 6	  54.8	      20.348	         2.064	
155	 940	A	  3	H	 6	  57.0	      20.370	         1.996	
155	 940	A	  3	H	 6	  58.9	      20.389	         2.053	
155	 940	A	  3	H	 6	  61.2	      20.412	         2.023	
155	 940	A	  3	H	 6	  62.0	      20.420	         2.062	
155	 940	A	  3	H	 6	  62.7	      20.427	         1.953	
155	 940	A	  3	H	 6	  65.2	      20.452	         1.989	
155	 940	A	  3	H	 6	  67.0	      20.470	         1.998	
155	 940	A	  3	H	 6	  69.2	      20.492	         2.000	
155	 940	A	  3	H	 6	  72.0	      20.520	         1.250	
155	 940	A	  3	H	 6	  73.1	      20.531	         1.893	
155	 940	A	  3	H	 6	  75.5	      20.555	         2.043	
155	 940	A	  3	H	 6	  77.5	      20.575	         2.004	
155	 940	A	  3	H	 6	  79.0	      20.590	         2.001	
155	 940	A	  3	H	 6	  82.0	      20.620	         2.108	
155	 940	A	  3	H	 6	  83.4	      20.634	         2.010	
155	 940	A	  3	H	 6	  85.6	      20.656	         2.033	
155	 940	A	  3	H	 6	  87.3	      20.673	         2.018	
155	 940	A	  3	H	 6	  89.7	      20.697	         2.047	
155	 940	A	  3	H	 6	  92.0	      20.720	         2.023	
155	 940	A	  3	H	 6	  93.8	      20.738	         2.023	
155	 940	A	  3	H	 6	  96.3	      20.763	         2.085	
155	 940	A	  3	H	 6	  97.0	      20.770	         2.060	
155	 940	A	  3	H	 6	  97.8	      20.778	         1.994	
155	 940	A	  3	H	 6	 100.3	      20.803	         2.015	
155	 940	A	  3	H	 6	 102.0	      20.820	         2.012	
155	 940	A	  3	H	 6	 104.3	      20.843	         1.988	
155	 940	A	  3	H	 6	 106.8	      20.868	         1.967	
155	 940	A	  3	H	 6	 109.1	      20.891	         2.095	
155	 940	A	  3	H	 6	 111.3	      20.913	         2.090	
155	 940	A	  3	H	 6	 113.7	      20.937	         2.066	
155	 940	A	  3	H	 6	 115.8	      20.958	         1.686	
155	 940	A	  3	H	 6	 118.2	      20.982	         0.443	
155	 940	A	  3	H	 6	 120.7	      21.007	         1.962	
155	 940	A	  3	H	 6	 123.1	      21.031	         2.046	
155	 940	A	  3	H	 6	 125.2	      21.052	         2.001	
155	 940	A	  3	H	 6	 127.6	      21.076	         1.812	
155	 940	A	  3	H	 6	 130.1	      21.101	         1.688	
155	 940	A	  3	H	 6	 132.3	      21.123	         1.834	
155	 940	A	  3	H	 6	 134.6	      21.146	         1.802	
155	 940	A	  3	H	 6	 137.1	      21.171	         1.784	
155	 940	A	  3	H	 6	 139.1	      21.191	         2.056	
155	 940	A	  3	H	 6	 141.5	      21.215	         1.924	
155	 940	A	  3	H	 6	 143.8	      21.238	         1.980	
155	 940	A	  3	H	 6	 146.0	      21.260	         1.653	
155	 940	A	  4	H	 1	   4.1	      21.841	         1.834	
155	 940	A	  4	H	 1	   7.0	      21.870	         1.860	
155	 940	A	  4	H	 1	   8.8	      21.888	         1.797	
155	 940	A	  4	H	 1	  11.0	      21.910	         1.812	
155	 940	A	  4	H	 1	  12.1	      21.921	         1.806	
155	 940	A	  4	H	 1	  12.9	      21.929	         1.813	
155	 940	A	  4	H	 1	  15.2	      21.952	         1.742	
155	 940	A	  4	H	 1	  16.9	      21.969	         1.630	
155	 940	A	  4	H	 1	  19.4	      21.994	         1.342	
155	 940	A	  4	H	 1	  22.0	      22.020	         1.337	
155	 940	A	  4	H	 1	  23.1	      22.031	         1.345	
155	 940	A	  4	H	 1	  25.7	      22.057	         1.380	
155	 940	A	  4	H	 1	  27.3	      22.073	         1.368	
155	 940	A	  4	H	 1	  29.5	      22.095	         1.352	
155	 940	A	  4	H	 1	  32.0	      22.120	         1.374	
155	 940	A	  4	H	 1	  33.7	      22.137	         1.436	
155	 940	A	  4	H	 1	  35.9	      22.159	         1.390	
155	 940	A	  4	H	 1	  37.0	      22.170	         1.418	
155	 940	A	  4	H	 1	  37.9	      22.179	         1.326	
155	 940	A	  4	H	 1	  40.1	      22.201	         1.550	
155	 940	A	  4	H	 1	  42.1	      22.221	         1.525	
155	 940	A	  4	H	 1	  44.3	      22.243	         1.538	
155	 940	A	  4	H	 1	  47.1	      22.271	         1.511	
155	 940	A	  4	H	 1	  48.4	      22.284	         1.491	
155	 940	A	  4	H	 1	  50.7	      22.307	         1.742	
155	 940	A	  4	H	 1	  52.0	      22.320	         1.517	
155	 940	A	  4	H	 1	  52.7	      22.327	         1.838	
155	 940	A	  4	H	 1	  54.8	      22.348	         1.565	
155	 940	A	  4	H	 1	  57.0	      22.370	         1.205	
155	 940	A	  4	H	 1	  59.2	      22.392	         1.418	
155	 940	A	  4	H	 1	  62.0	      22.420	         1.063	
155	 940	A	  4	H	 1	  63.1	      22.431	         2.036	
155	 940	A	  4	H	 1	  65.5	      22.455	         2.062	
155	 940	A	  4	H	 1	  66.9	      22.469	         2.051	
155	 940	A	  4	H	 1	  68.9	      22.489	         1.998	
155	 940	A	  4	H	 1	  71.3	      22.513	         1.978	
155	 940	A	  4	H	 1	  72.1	      22.521	         1.963	
155	 940	A	  4	H	 1	  73.1	      22.531	         1.885	
155	 940	A	  4	H	 1	  75.5	      22.555	         1.571	
155	 940	A	  4	H	 1	  77.4	      22.574	         1.552	
155	 940	A	  4	H	 1	  79.0	      22.590	         1.594	
155	 940	A	  4	H	 1	  82.0	      22.620	         2.002	
155	 940	A	  4	H	 1	  83.6	      22.636	         2.046	
155	 940	A	  4	H	 1	  85.7	      22.657	         2.001	
155	 940	A	  4	H	 1	  87.5	      22.675	         2.061	
155	 940	A	  4	H	 1	  90.1	      22.701	         2.039	
155	 940	A	  4	H	 1	  92.0	      22.720	         2.005	
155	 940	A	  4	H	 1	  93.8	      22.738	         2.051	
155	 940	A	  4	H	 1	  97.0	      22.770	         2.023	
155	 940	A	  4	H	 1	  98.0	      22.780	         2.055	
155	 940	A	  4	H	 1	 100.2	      22.802	         2.073	
155	 940	A	  4	H	 1	 102.0	      22.820	         2.106	
155	 940	A	  4	H	 1	 103.0	      22.830	         2.104	
155	 940	A	  4	H	 1	 105.4	      22.854	         2.023	
155	 940	A	  4	H	 1	 107.9	      22.879	         1.868	
155	 940	A	  4	H	 1	 109.1	      22.891	         2.058	
155	 940	A	  4	H	 1	 110.1	      22.901	         2.063	
155	 940	A	  4	H	 1	 112.3	      22.923	         2.017	
155	 940	A	  4	H	 1	 114.6	      22.946	         2.015	
155	 940	A	  4	H	 1	 116.9	      22.969	         2.032	
155	 940	A	  4	H	 1	 119.4	      22.994	         1.791	
155	 940	A	  4	H	 1	 121.7	      23.017	         2.026	
155	 940	A	  4	H	 1	 124.0	      23.040	         2.036	
155	 940	A	  4	H	 1	 126.4	      23.064	         2.035	
155	 940	A	  4	H	 1	 129.0	      23.090	         2.028	
155	 940	A	  4	H	 1	 131.1	      23.111	         2.027	
155	 940	A	  4	H	 1	 133.3	      23.133	         2.034	
155	 940	A	  4	H	 1	 135.7	      23.157	         2.066	
155	 940	A	  4	H	 1	 138.2	      23.182	         2.014	
155	 940	A	  4	H	 1	 139.1	      23.191	         2.058	
155	 940	A	  4	H	 1	 140.4	      23.204	         2.077	
155	 940	A	  4	H	 1	 142.6	      23.226	         2.088	
155	 940	A	  4	H	 1	 144.8	      23.248	         2.058	
155	 940	A	  4	H	 2	   4.2	      23.342	         1.921	
155	 940	A	  4	H	 2	   7.0	      23.370	         1.886	
155	 940	A	  4	H	 2	   8.7	      23.387	         1.781	
155	 940	A	  4	H	 2	  11.2	      23.412	         1.839	
155	 940	A	  4	H	 2	  12.1	      23.421	         1.834	
155	 940	A	  4	H	 2	  12.8	      23.428	         1.816	
155	 940	A	  4	H	 2	  15.1	      23.451	         1.803	
155	 940	A	  4	H	 2	  17.0	      23.470	         1.732	
155	 940	A	  4	H	 2	  19.2	      23.492	         1.371	
155	 940	A	  4	H	 2	  22.0	      23.520	         1.407	
155	 940	A	  4	H	 2	  23.3	      23.533	         1.403	
155	 940	A	  4	H	 2	  25.9	      23.559	         1.260	
155	 940	A	  4	H	 2	  27.0	      23.570	         1.309	
155	 940	A	  4	H	 2	  27.8	      23.578	         1.413	
155	 940	A	  4	H	 2	  29.9	      23.599	         2.058	
155	 940	A	  4	H	 2	  32.0	      23.620	         2.086	
155	 940	A	  4	H	 2	  34.2	      23.642	         2.146	
155	 940	A	  4	H	 2	  36.3	      23.663	         2.114	
155	 940	A	  4	H	 2	  37.0	      23.670	         2.083	
155	 940	A	  4	H	 2	  38.4	      23.684	         2.085	
155	 940	A	  4	H	 2	  40.6	      23.706	         2.092	
155	 940	A	  4	H	 2	  42.1	      23.721	         2.031	
155	 940	A	  4	H	 2	  44.9	      23.749	         2.045	
155	 940	A	  4	H	 2	  47.0	      23.770	         2.026	
155	 940	A	  4	H	 2	  48.9	      23.789	         2.027	
155	 940	A	  4	H	 2	  51.2	      23.812	         2.047	
155	 940	A	  4	H	 2	  52.0	      23.820	         2.026	
155	 940	A	  4	H	 2	  54.8	      23.848	         2.058	
155	 940	A	  4	H	 2	  57.0	      23.870	         2.018	
155	 940	A	  4	H	 2	  59.2	      23.892	         2.039	
155	 940	A	  4	H	 2	  62.1	      23.921	         2.011	
155	 940	A	  4	H	 2	  63.4	      23.934	         2.022	
155	 940	A	  4	H	 2	  65.5	      23.955	         2.014	
155	 940	A	  4	H	 2	  66.9	      23.969	         2.038	
155	 940	A	  4	H	 2	  69.6	      23.996	         2.029	
155	 940	A	  4	H	 2	  72.1	      24.021	         2.031	
155	 940	A	  4	H	 2	  73.9	      24.039	         2.043	
155	 940	A	  4	H	 2	  76.1	      24.061	         1.973	
155	 940	A	  4	H	 2	  77.0	      24.070	         2.041	
155	 940	A	  4	H	 2	  78.0	      24.080	         2.036	
155	 940	A	  4	H	 2	  79.0	      24.090	         2.036	
155	 940	A	  4	H	 2	  79.8	      24.098	         2.064	
155	 940	A	  4	H	 2	  82.0	      24.120	         2.012	
155	 940	A	  4	H	 2	  83.8	      24.138	         2.034	
155	 940	A	  4	H	 2	  86.4	      24.164	         2.020	
155	 940	A	  4	H	 2	  87.0	      24.170	         2.023	
155	 940	A	  4	H	 2	  88.0	      24.180	         2.019	
155	 940	A	  4	H	 2	  90.4	      24.204	         2.054	
155	 940	A	  4	H	 2	  92.5	      24.225	         1.952	
155	 940	A	  4	H	 2	  94.5	      24.245	         2.054	
155	 940	A	  4	H	 2	  97.0	      24.270	         2.036	
155	 940	A	  4	H	 2	  98.6	      24.286	         2.008	
155	 940	A	  4	H	 2	 100.9	      24.309	         2.070	
155	 940	A	  4	H	 2	 102.0	      24.320	         2.110	
155	 940	A	  4	H	 2	 102.7	      24.327	         2.035	
155	 940	A	  4	H	 2	 104.9	      24.349	         2.026	
155	 940	A	  4	H	 2	 107.3	      24.373	         2.002	
155	 940	A	  4	H	 2	 109.1	      24.391	         2.020	
155	 940	A	  4	H	 2	 109.6	      24.396	         2.026	
155	 940	A	  4	H	 2	 111.7	      24.417	         2.022	
155	 940	A	  4	H	 2	 114.3	      24.443	         2.008	
155	 940	A	  4	H	 2	 116.4	      24.464	         2.047	
155	 940	A	  4	H	 2	 118.7	      24.487	         1.689	
155	 940	A	  4	H	 2	 121.1	      24.511	         2.016	
155	 940	A	  4	H	 2	 123.6	      24.536	         2.018	
155	 940	A	  4	H	 2	 125.9	      24.559	         2.021	
155	 940	A	  4	H	 2	 128.2	      24.582	         2.033	
155	 940	A	  4	H	 2	 130.4	      24.604	         2.034	
155	 940	A	  4	H	 2	 133.0	      24.630	         1.998	
155	 940	A	  4	H	 2	 135.2	      24.652	         1.851	
155	 940	A	  4	H	 2	 137.5	      24.675	         2.016	
155	 940	A	  4	H	 2	 139.1	      24.691	         2.007	
155	 940	A	  4	H	 2	 139.6	      24.696	         2.074	
155	 940	A	  4	H	 2	 142.0	      24.720	         2.055	
155	 940	A	  4	H	 2	 144.4	      24.744	         2.013	
155	 940	A	  4	H	 2	 146.7	      24.767	         2.012	
155	 940	A	  4	H	 3	   3.9	      24.839	         1.808	
155	 940	A	  4	H	 3	   7.0	      24.870	         1.799	
155	 940	A	  4	H	 3	   8.7	      24.887	         1.781	
155	 940	A	  4	H	 3	  10.9	      24.909	         1.751	
155	 940	A	  4	H	 3	  12.1	      24.921	         1.817	
155	 940	A	  4	H	 3	  12.8	      24.928	         1.751	
155	 940	A	  4	H	 3	  15.0	      24.950	         1.754	
155	 940	A	  4	H	 3	  17.0	      24.970	         1.676	
155	 940	A	  4	H	 3	  19.2	      24.992	         1.377	
155	 940	A	  4	H	 3	  22.0	      25.020	         1.403	
155	 940	A	  4	H	 3	  23.0	      25.030	         1.271	
155	 940	A	  4	H	 3	  25.4	      25.054	         1.320	
155	 940	A	  4	H	 3	  27.3	      25.073	         1.321	
155	 940	A	  4	H	 3	  29.5	      25.095	         1.543	
155	 940	A	  4	H	 3	  32.0	      25.120	         1.565	
155	 940	A	  4	H	 3	  33.7	      25.137	         1.617	
155	 940	A	  4	H	 3	  35.9	      25.159	         1.538	
155	 940	A	  4	H	 3	  36.9	      25.169	         1.569	
155	 940	A	  4	H	 3	  37.7	      25.177	         1.475	
155	 940	A	  4	H	 3	  40.0	      25.200	         1.601	
155	 940	A	  4	H	 3	  42.1	      25.221	         1.588	
155	 940	A	  4	H	 3	  44.0	      25.240	         1.611	
155	 940	A	  4	H	 3	  47.0	      25.270	         1.601	
155	 940	A	  4	H	 3	  48.4	      25.284	         1.520	
155	 940	A	  4	H	 3	  50.5	      25.305	         1.562	
155	 940	A	  4	H	 3	  52.0	      25.320	         1.289	
155	 940	A	  4	H	 3	  54.5	      25.345	         1.609	
155	 940	A	  4	H	 3	  57.0	      25.370	         1.611	
155	 940	A	  4	H	 3	  58.5	      25.385	         1.372	
155	 940	A	  4	H	 3	  61.0	      25.410	         1.559	
155	 940	A	  4	H	 3	  62.1	      25.421	         1.251	
155	 940	A	  4	H	 3	  62.7	      25.427	         1.253	
155	 940	A	  4	H	 3	  65.0	      25.450	         1.342	
155	 940	A	  4	H	 3	  66.9	      25.469	         1.381	
155	 940	A	  4	H	 3	  69.1	      25.491	         1.330	
155	 940	A	  4	H	 3	  71.4	      25.514	         1.402	
155	 940	A	  4	H	 3	  72.0	      25.520	         1.329	
155	 940	A	  4	H	 3	  73.0	      25.530	         1.421	
155	 940	A	  4	H	 3	  75.6	      25.556	         1.276	
155	 940	A	  4	H	 3	  77.1	      25.571	         0.973	
155	 940	A	  4	H	 3	  79.0	      25.590	         0.929	
155	 940	A	  4	H	 3	  82.0	      25.620	         1.449	
155	 940	A	  4	H	 3	  83.2	      25.632	         1.572	
155	 940	A	  4	H	 3	  85.5	      25.655	         1.597	
155	 940	A	  4	H	 3	  87.3	      25.673	         1.231	
155	 940	A	  4	H	 3	  89.6	      25.696	         1.420	
155	 940	A	  4	H	 3	  92.0	      25.720	         1.382	
155	 940	A	  4	H	 3	  93.8	      25.738	         1.340	
155	 940	A	  4	H	 3	  96.1	      25.761	         1.356	
155	 940	A	  4	H	 3	  97.0	      25.770	         1.387	
155	 940	A	  4	H	 3	  98.0	      25.780	         1.301	
155	 940	A	  4	H	 3	 100.2	      25.802	         1.288	
155	 940	A	  4	H	 3	 102.0	      25.820	         1.302	
155	 940	A	  4	H	 3	 104.4	      25.844	         1.037	
155	 940	A	  4	H	 3	 107.0	      25.870	         1.139	
155	 940	A	  4	H	 3	 108.4	      25.884	         1.116	
155	 940	A	  4	H	 3	 109.0	      25.890	         1.098	
155	 940	A	  4	H	 3	 110.4	      25.904	         1.301	
155	 940	A	  4	H	 3	 112.7	      25.927	         1.476	
155	 940	A	  4	H	 3	 115.0	      25.950	         1.598	
155	 940	A	  4	H	 3	 117.5	      25.975	         1.624	
155	 940	A	  4	H	 3	 119.9	      25.999	         1.651	
155	 940	A	  4	H	 3	 122.3	      26.023	         1.652	
155	 940	A	  4	H	 3	 124.5	      26.045	         1.568	
155	 940	A	  4	H	 3	 126.8	      26.068	         1.594	
155	 940	A	  4	H	 3	 129.3	      26.093	         1.592	
155	 940	A	  4	H	 3	 131.5	      26.115	         1.582	
155	 940	A	  4	H	 3	 133.9	      26.139	         1.571	
155	 940	A	  4	H	 3	 136.2	      26.162	         1.579	
155	 940	A	  4	H	 3	 139.1	      26.191	         1.553	
155	 940	A	  4	H	 3	 140.7	      26.207	         1.441	
155	 940	A	  4	H	 3	 143.2	      26.232	         1.553	
155	 940	A	  4	H	 3	 145.4	      26.254	         1.229	
155	 940	A	  4	H	 4	   4.0	      26.340	         1.752	
155	 940	A	  4	H	 4	   7.0	      26.370	         1.693	
155	 940	A	  4	H	 4	   8.7	      26.387	         1.742	
155	 940	A	  4	H	 4	  11.0	      26.410	         1.637	
155	 940	A	  4	H	 4	  12.1	      26.421	         1.691	
155	 940	A	  4	H	 4	  12.8	      26.428	         1.666	
155	 940	A	  4	H	 4	  15.4	      26.454	         1.696	
155	 940	A	  4	H	 4	  16.9	      26.469	         1.624	
155	 940	A	  4	H	 4	  19.4	      26.494	         1.384	
155	 940	A	  4	H	 4	  22.0	      26.520	         1.315	
155	 940	A	  4	H	 4	  23.1	      26.531	         1.354	
155	 940	A	  4	H	 4	  25.8	      26.558	         1.303	
155	 940	A	  4	H	 4	  27.4	      26.574	         1.311	
155	 940	A	  4	H	 4	  29.6	      26.596	         1.299	
155	 940	A	  4	H	 4	  32.0	      26.620	         1.283	
155	 940	A	  4	H	 4	  32.7	      26.627	         1.385	
155	 940	A	  4	H	 4	  35.0	      26.650	         1.334	
155	 940	A	  4	H	 4	  37.0	      26.670	         1.302	
155	 940	A	  4	H	 4	  39.2	      26.692	         1.345	
155	 940	A	  4	H	 4	  42.1	      26.721	         1.351	
155	 940	A	  4	H	 4	  43.2	      26.732	         1.370	
155	 940	A	  4	H	 4	  45.6	      26.756	         1.380	
155	 940	A	  4	H	 4	  47.0	      26.770	         1.284	
155	 940	A	  4	H	 4	  47.6	      26.776	         1.279	
155	 940	A	  4	H	 4	  49.7	      26.797	         1.213	
155	 940	A	  4	H	 4	  52.0	      26.820	         1.196	
155	 940	A	  4	H	 4	  53.9	      26.839	         1.188	
155	 940	A	  4	H	 4	  56.2	      26.862	         1.132	
155	 940	A	  4	H	 4	  57.0	      26.870	         0.941	
155	 940	A	  4	H	 4	  58.1	      26.881	         1.285	
155	 940	A	  4	H	 4	  60.3	      26.903	         1.067	
155	 940	A	  4	H	 4	  62.0	      26.920	         1.325	
155	 940	A	  4	H	 4	  63.2	      26.932	         1.376	
155	 940	A	  4	H	 4	  65.4	      26.954	         1.114	
155	 940	A	  4	H	 4	  67.0	      26.970	         1.184	
155	 940	A	  4	H	 4	  69.6	      26.996	         0.925	
155	 940	A	  4	H	 4	  72.1	      27.021	         0.961	
155	 940	A	  4	H	 4	  72.9	      27.029	         1.299	
155	 940	A	  4	H	 4	  75.6	      27.056	         1.209	
155	 940	A	  4	H	 4	  77.0	      27.070	         1.110	
155	 940	A	  4	H	 4	  79.0	      27.090	         0.941	
155	 940	A	  4	H	 4	  81.4	      27.114	         1.257	
155	 940	A	  4	H	 4	  82.0	      27.120	         1.374	
155	 940	A	  4	H	 4	  83.1	      27.131	         1.152	
155	 940	A	  4	H	 4	  85.3	      27.153	         1.058	
155	 940	A	  4	H	 4	  87.0	      27.170	         1.102	
155	 940	A	  4	H	 4	  89.5	      27.195	         1.369	
155	 940	A	  4	H	 4	  92.1	      27.221	         1.202	
155	 940	A	  4	H	 4	  93.4	      27.234	         1.036	
155	 940	A	  4	H	 4	  95.8	      27.258	         0.866	
155	 940	A	  4	H	 4	  97.0	      27.270	         1.387	
155	 940	A	  4	H	 4	  97.6	      27.276	         1.537	
155	 940	A	  4	H	 4	  99.8	      27.298	         1.535	
155	 940	A	  4	H	 4	 102.0	      27.320	         1.177	
155	 940	A	  4	H	 4	 103.2	      27.332	         1.549	
155	 940	A	  4	H	 4	 105.5	      27.355	         1.536	
155	 940	A	  4	H	 4	 107.0	      27.370	         1.370	
155	 940	A	  4	H	 4	 109.0	      27.390	         1.510	
155	 940	A	  4	H	 4	 111.3	      27.413	         1.451	
155	 940	A	  4	H	 4	 113.6	      27.436	         1.482	
155	 940	A	  4	H	 4	 115.9	      27.459	         1.507	
155	 940	A	  4	H	 4	 118.3	      27.483	         1.254	
155	 940	A	  4	H	 4	 120.7	      27.507	         1.420	
155	 940	A	  4	H	 4	 123.1	      27.531	         1.229	
155	 940	A	  4	H	 4	 125.4	      27.554	         1.400	
155	 940	A	  4	H	 4	 127.7	      27.577	         1.383	
155	 940	A	  4	H	 4	 130.0	      27.600	         1.523	
155	 940	A	  4	H	 4	 132.5	      27.625	         1.489	
155	 940	A	  4	H	 4	 134.7	      27.647	         1.313	
155	 940	A	  4	H	 4	 137.1	      27.671	         1.531	
155	 940	A	  4	H	 4	 139.1	      27.691	         1.538	
155	 940	A	  4	H	 4	 141.7	      27.717	         1.381	
155	 940	A	  4	H	 4	 143.9	      27.739	         1.526	
155	 940	A	  4	H	 4	 146.2	      27.762	         1.131	
155	 940	A	  4	H	 5	   4.2	      27.842	         1.501	
155	 940	A	  4	H	 5	   7.0	      27.870	         1.498	
155	 940	A	  4	H	 5	   8.7	      27.887	         1.494	
155	 940	A	  4	H	 5	  11.2	      27.912	         1.538	
155	 940	A	  4	H	 5	  12.1	      27.921	         1.491	
155	 940	A	  4	H	 5	  13.0	      27.930	         1.494	
155	 940	A	  4	H	 5	  15.4	      27.954	         1.441	
155	 940	A	  4	H	 5	  17.0	      27.970	         1.470	
155	 940	A	  4	H	 5	  19.3	      27.993	         1.451	
155	 940	A	  4	H	 5	  22.0	      28.020	         1.421	
155	 940	A	  4	H	 5	  23.3	      28.033	         1.397	
155	 940	A	  4	H	 5	  25.7	      28.057	         1.446	
155	 940	A	  4	H	 5	  27.5	      28.075	         1.444	
155	 940	A	  4	H	 5	  29.8	      28.098	         1.446	
155	 940	A	  4	H	 5	  32.0	      28.120	         1.406	
155	 940	A	  4	H	 5	  33.7	      28.137	         1.483	
155	 940	A	  4	H	 5	  36.1	      28.161	         1.544	
155	 940	A	  4	H	 5	  37.0	      28.170	         1.485	
155	 940	A	  4	H	 5	  39.6	      28.196	         1.448	
155	 940	A	  4	H	 5	  42.1	      28.221	         1.495	
155	 940	A	  4	H	 5	  43.8	      28.238	         1.518	
155	 940	A	  4	H	 5	  46.0	      28.260	         1.550	
155	 940	A	  4	H	 5	  47.0	      28.270	         1.555	
155	 940	A	  4	H	 5	  47.7	      28.277	         1.560	
155	 940	A	  4	H	 5	  50.2	      28.302	         1.522	
155	 940	A	  4	H	 5	  52.0	      28.320	         1.576	
155	 940	A	  4	H	 5	  54.4	      28.344	         1.555	
155	 940	A	  4	H	 5	  57.0	      28.370	         1.520	
155	 940	A	  4	H	 5	  58.3	      28.383	         1.543	
155	 940	A	  4	H	 5	  60.8	      28.408	         1.630	
155	 940	A	  4	H	 5	  62.0	      28.420	         1.549	
155	 940	A	  4	H	 5	  64.9	      28.449	         1.596	
