Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Treatment	Level 	Demag Type	Level	 Decl.	 Incl.	Intensity	Hole Incl.	Intensity X	Intensity Y	Intensity Z	Run   	Comment
155	 940	A	  2	H	 1	  95.00	       3.750	NRM      	      	AFD       	   20	107.80	 30.70	9.985E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	 100.00	       3.800	NRM      	      	AFD       	   20	108.60	 32.90	9.169E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	 105.00	       3.850	NRM      	      	AFD       	   20	107.10	 33.90	9.154E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	 110.00	       3.900	NRM      	      	AFD       	   20	105.20	 30.60	1.027E+01	          	           	           	           	  1841	
155	 940	A	  2	H	 1	 115.00	       3.950	NRM      	      	AFD       	   20	104.60	 27.40	1.097E+01	          	           	           	           	  1841	
155	 940	A	  2	H	 1	 120.00	       4.000	NRM      	      	AFD       	   20	104.40	 26.00	1.045E+01	          	           	           	           	  1841	
155	 940	A	  2	H	 1	 125.00	       4.050	NRM      	      	AFD       	   20	103.90	 27.10	9.410E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	 130.00	       4.100	NRM      	      	AFD       	   20	101.80	 30.20	8.524E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	 135.00	       4.150	NRM      	      	AFD       	   20	 98.40	 32.70	8.498E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	 140.00	       4.200	NRM      	      	AFD       	   20	 96.70	 28.80	9.958E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	 145.00	       4.250	NRM      	      	AFD       	   20	 98.20	 23.50	1.046E+01	          	           	           	           	  1841	
155	 940	A	  2	H	 1	 150.00	       4.300	NRM      	      	AFD       	   20	102.00	 23.10	6.023E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 2	   0.00	       4.300	NRM      	      	AFD       	   20	 71.80	 32.40	3.787E+00	          	           	           	           	  1842	
