Leg	Site	H	Cor	T	Sc	Top(cm)	Bot(cm)	Depth (mbsf)	WW (%)	WD (%)	BD (g/cc)	DD (g/cc)	GD (g/cc)	PO (%)	VR    	Method	Comments
155	 940	A	  8	H	 4	  49.0	  51.0	      64.790	  30.8	  44.6	    1.868	    1.292	    2.952	  56.2	 1.285	     B	        
155	 940	A	  9	X	 1	 119.0	 121.0	      70.490	  32.2	  47.4	    1.838	    1.247	    2.952	  57.8	 1.368	     B	        
155	 940	A	  9	X	 2	  93.0	  95.0	      71.730	  31.9	  46.8	    1.831	    1.247	    2.900	  57.0	 1.325	     B	        
155	 940	A	  9	X	 3	  93.0	  95.0	      73.230	  32.0	  47.0	    1.831	    1.246	    2.908	  57.2	 1.334	     B	        
155	 940	A	  9	X	 4	  93.0	  95.0	      74.730	  30.9	  44.8	    1.857	    1.283	    2.921	  56.1	 1.277	     B	        
155	 940	A	  9	X	 5	  93.0	  95.0	      76.230	  31.9	  46.9	    1.839	    1.251	    2.935	  57.4	 1.345	     B	        
155	 940	A	 10	X	 1	  96.0	  98.0	      77.960	  32.2	  47.4	    1.845	    1.252	    2.977	  58.0	 1.379	     B	        
155	 940	A	 10	X	 2	  96.0	  98.0	      79.460	  30.9	  44.6	    1.854	    1.282	    2.906	  55.9	 1.267	     B	        
155	 940	A	 10	X	 3	  96.0	  98.0	      80.960	  31.0	  44.9	    1.870	    1.290	    2.971	  56.6	 1.302	     B	        
155	 940	A	 10	X	 4	  96.0	  98.0	      82.460	  30.7	  44.3	    1.881	    1.304	    2.989	  56.4	 1.293	     B	        
155	 940	A	 10	X	 5	  96.0	  98.0	      83.960	  30.3	  43.5	    1.853	    1.291	    2.860	  54.9	 1.216	     B	        
155	 940	A	 11	X	 1	  85.0	  87.0	      85.550	  31.7	  46.4	    1.858	    1.270	    2.987	  57.5	 1.352	     B	        
155	 940	A	 11	X	 2	  85.0	  87.0	      87.050	  32.4	  47.9	    1.820	    1.231	    2.898	  57.5	 1.354	     B	        
155	 940	A	 11	X	 3	  83.0	  85.0	      88.500	  30.2	  43.3	    1.876	    1.309	    2.931	  55.3	 1.239	     B	        
155	 940	A	 11	X	 4	  81.0	  83.0	      89.980	  30.6	  44.1	    1.863	    1.294	    2.917	  55.7	 1.255	     B	        
155	 940	A	 11	X	 5	  85.0	  87.0	      91.520	  29.8	  42.4	    1.902	    1.336	    2.986	  55.3	 1.235	     B	        
155	 940	A	 11	X	 6	  87.0	  89.0	      93.040	  29.2	  41.2	    1.912	    1.354	    2.978	  54.5	 1.199	     B	        
155	 940	A	 12	X	 1	  64.0	  66.0	      94.940	  31.5	  46.0	    1.859	    1.274	    2.975	  57.2	 1.335	     B	        
155	 940	A	 12	X	 2	  64.0	  65.0	      96.440	  28.8	  40.5	    1.894	    1.348	    2.888	  53.3	 1.143	     B	        
155	 940	A	 12	X	 3	  64.0	  65.0	      97.940	  29.2	  41.3	    1.873	    1.326	    2.850	  53.5	 1.150	     B	        
155	 940	A	 12	X	 4	  64.0	  66.0	      99.440	  30.7	  44.3	    1.852	    1.284	    2.887	  55.5	 1.249	     B	        
155	 940	A	 12	X	 5	  44.0	  46.0	     100.740	  29.5	  41.9	    1.893	    1.334	    2.937	  54.6	 1.202	     B	        
155	 940	A	 12	X	 6	   7.0	   9.0	     101.810	  29.8	  42.4	    1.894	    1.330	    2.961	  55.1	 1.226	     B	        
155	 940	A	 13	X	 1	  84.0	  86.0	     104.740	  29.0	  40.8	    1.923	    1.366	    2.994	  54.4	 1.192	     B	        
155	 940	A	 13	X	 2	 100.0	 102.0	     106.360	  31.4	  45.7	    1.855	    1.273	    2.948	  56.8	 1.315	     B	        
155	 940	A	 13	X	 3	  99.0	 101.0	     107.770	  31.1	  45.2	    1.865	    1.285	    2.965	  56.7	 1.307	     B	        
155	 940	A	 13	X	 4	  59.0	  61.0	     108.870	  27.5	  38.0	    1.935	    1.402	    2.924	  52.1	 1.086	     B	        
155	 940	A	 13	X	 5	  59.0	  61.0	     110.370	  30.5	  43.9	    1.884	    1.310	    2.983	  56.1	 1.278	     B	        
155	 940	A	 14	X	 1	 146.0	 148.0	     115.060	  29.8	  42.5	    1.880	    1.319	    2.918	  54.8	 1.212	     B	        
155	 940	A	 14	X	 2	  80.0	  82.0	     115.900	  28.7	  40.3	    1.920	    1.369	    2.963	  53.8	 1.165	     B	        
155	 940	A	 14	X	 3	  82.0	  84.0	     117.420	  29.3	  41.5	    1.915	    1.353	    2.995	  54.8	 1.213	     B	        
155	 940	A	 15	X	 1	 103.0	 105.0	     124.330	  28.3	  39.5	    1.908	    1.368	    2.893	  52.7	 1.115	     B	        
155	 940	A	 15	X	 2	 104.0	 106.0	     125.840	  25.7	  34.6	    1.977	    1.468	    2.917	  49.7	 0.987	     B	        
155	 940	A	 15	X	 3	  34.0	  36.0	     126.640	  27.7	  38.3	    1.918	    1.387	    2.883	  51.9	 1.079	     B	        
155	 940	A	 15	X	 4	 124.0	 126.0	     129.040	  27.3	  37.5	    1.933	    1.405	    2.900	  51.5	 1.063	     B	        
155	 940	A	 15	X	 5	  49.0	  51.0	     129.790	  26.5	  36.1	    1.959	    1.439	    2.923	  50.8	 1.031	     B	        
155	 940	A	 16	X	 1	  92.0	  94.0	     133.920	  27.7	  38.2	    1.934	    1.399	    2.928	  52.2	 1.093	     B	        
155	 940	A	 16	X	 2	 104.0	 104.0	     135.540	  28.7	  40.3	    1.890	    1.347	    2.870	  53.1	 1.131	     B	        
155	 940	A	 16	X	 3	 117.0	 119.0	     137.170	  28.9	  40.6	    1.895	    1.347	    2.894	  53.4	 1.148	     B	        
155	 940	A	 16	X	 4	  89.0	  91.0	     138.390	  26.7	  36.4	    1.928	    1.413	    2.841	  50.3	 1.011	     B	        
155	 940	A	 16	X	 5	 109.0	 111.0	     140.090	  27.1	  37.2	    1.938	    1.413	    2.901	  51.3	 1.054	     B	        
155	 940	A	 16	X	 6	 105.0	 107.0	     141.550	  25.5	  34.1	    1.981	    1.477	    2.909	  49.2	 0.970	     B	        
155	 940	A	 16	X	 7	  45.0	  47.0	     142.450	  27.1	  37.2	    1.978	    1.441	    3.026	  52.4	 1.099	     B	        
155	 940	A	 17	X	 1	  72.0	  74.0	     143.320	  27.6	  38.2	    1.952	    1.413	    2.984	  52.7	 1.112	     B	        
155	 940	A	 17	X	 2	  96.0	  98.0	     145.060	  27.7	  38.4	    1.928	    1.393	    2.918	  52.3	 1.094	     B	        
155	 940	A	 17	X	 3	  97.0	  99.0	     146.570	  27.4	  37.7	    1.920	    1.394	    2.865	  51.3	 1.055	     B	        
155	 940	A	 17	X	 4	 100.0	 102.0	     148.100	  27.5	  37.9	    1.924	    1.395	    2.884	  51.6	 1.067	     B	        
155	 940	A	 17	X	 5	  55.0	  57.0	     149.150	  27.4	  37.7	    1.945	    1.412	    2.944	  52.0	 1.085	     B	        
155	 940	A	 18	X	 1	  25.0	  27.0	     152.450	  28.0	  39.0	    1.912	    1.376	    2.890	  52.4	 1.100	     B	        
155	 940	A	 18	X	 2	  75.0	  77.0	     154.450	  27.1	  37.2	    1.924	    1.402	    2.857	  50.9	 1.037	     B	        
155	 940	A	 18	X	 3	 102.0	 104.0	     156.220	  27.5	  37.8	    1.926	    1.397	    2.889	  51.6	 1.068	     B	        
155	 940	A	 18	X	 4	  48.0	  50.0	     157.180	  26.8	  36.7	    1.951	    1.427	    2.920	  51.1	 1.046	     B	        
155	 940	A	 18	X	 5	  65.0	  67.0	     158.850	  26.6	  36.3	    1.946	    1.428	    2.892	  50.6	 1.026	     B	        
155	 940	A	 18	X	 6	  42.0	  44.0	     160.120	  25.4	  34.0	    1.997	    1.490	    2.950	  49.5	 0.979	     B	        
155	 940	A	 19	X	 1	  67.0	  69.0	     162.570	  25.5	  34.3	    2.000	    1.489	    2.971	  49.9	 0.995	     B	        
155	 940	A	 19	X	 2	  66.0	  68.0	     164.060	  26.8	  36.6	    1.951	    1.428	    2.915	  51.0	 1.041	     B	        
155	 940	A	 19	X	 3	  83.0	  85.0	     165.730	  28.0	  38.9	    1.928	    1.388	    2.937	  52.7	 1.116	     B	        
155	 940	A	 19	X	 4	  54.0	  56.0	     166.940	  28.0	  38.9	    1.945	    1.400	    2.991	  53.2	 1.136	     B	        
155	 940	A	 21	X	 1	  82.0	  84.0	     181.920	  27.8	  38.6	    1.929	    1.392	    2.929	  52.5	 1.104	     B	        
155	 940	A	 21	X	 2	  82.0	  84.0	     183.420	  24.8	  33.0	    2.006	    1.508	    2.937	  48.7	 0.948	     B	        
155	 940	A	 21	X	 3	  82.0	  84.0	     184.920	  24.4	  32.3	    1.997	    1.509	    2.881	  47.6	 0.909	     B	        
155	 940	A	 21	X	 4	  82.0	  84.0	     186.420	  25.8	  34.7	    1.970	    1.462	    2.900	  49.6	 0.983	     B	        
155	 940	A	 22	X	 1	  84.0	  86.0	     191.640	  25.5	  34.3	    1.973	    1.469	    2.890	  49.2	 0.967	     B	        
155	 940	A	 22	X	 2	  84.0	  86.0	     193.140	  26.3	  35.6	    1.949	    1.438	    2.874	  50.0	 0.999	     B	        
155	 940	A	 22	X	 3	  67.0	  69.0	     194.470	  24.5	  32.5	    2.004	    1.512	    2.908	  48.0	 0.923	     B	        
155	 940	A	 22	X	 4	 106.0	 108.0	     196.360	  26.0	  35.1	    1.954	    1.446	    2.868	  49.6	 0.984	     B	        
155	 940	A	 22	X	 5	 104.0	 106.0	     197.840	  25.7	  34.5	    1.967	    1.462	    2.883	  49.3	 0.972	     B	        
155	 940	A	 22	X	 6	  34.0	  36.0	     198.640	  25.7	  34.7	    1.985	    1.474	    2.942	  49.9	 0.996	     B	        
155	 940	A	 23	X	 2	  63.0	  65.0	     202.160	  24.6	  32.6	    1.987	    1.499	    2.865	  47.7	 0.912	     B	        
155	 940	A	 23	X	 3	  49.0	  51.0	     203.520	  25.8	  34.8	    1.953	    1.449	    2.852	  49.2	 0.969	     B	        
155	 940	A	 23	X	 4	  49.0	  51.0	     205.020	  25.1	  33.5	    1.979	    1.482	    2.878	  48.5	 0.942	     B	        
155	 940	A	 23	X	 5	  46.0	  48.0	     206.490	  25.1	  33.5	    1.977	    1.482	    2.872	  48.4	 0.938	     B	        
155	 940	A	 23	X	 6	  37.0	  39.0	     207.900	  25.8	  34.8	    1.972	    1.463	    2.911	  49.8	 0.990	     B	        
155	 940	A	 23	X	 7	  34.0	  36.0	     209.370	  23.0	  29.8	    2.050	    1.579	    2.924	  46.0	 0.851	     B	        
